start_date,trough_date,recovery_date,depth,duration_days,days_to_trough,avg_stock_weight,avg_prob_high_vol,avg_prob_down_risk,trough_regime
2021-11-17,2022-12-23,2023-11-13,-0.2681461868303824,499,277,0.6363599999999999,0.6213507881631001,0.5117759616452199,EXTREME_RISK
2025-02-14,2025-04-04,2025-07-01,-0.1314003033483464,93,34,0.6189361702127661,0.6142735896181801,0.45817280453381476,EXTREME_RISK
2024-07-08,2024-09-04,2024-12-02,-0.1198551901279371,103,41,0.8221153846153848,0.43092224198992896,0.3864581975532435,CUSTOM
2025-10-27,2026-03-26,2026-04-14,-0.11170208114148339,115,103,0.8167241379310346,0.4934818543658995,0.502584053644599,CUSTOM
2015-07-16,2015-08-21,2015-10-26,-0.11001944972310906,71,26,0.7899999999999999,0.6188090378467981,0.38255588847954036,WATCH
2018-08-27,2018-12-20,2019-03-11,-0.09676399121240242,133,80,0.582089552238806,0.6658995144136258,0.42450177648347814,EXTREME_RISK
2020-02-14,2020-03-16,2020-04-14,-0.09672739522804774,40,20,0.4268292682926829,0.8142655918720927,0.5148999432808233,EXTREME_RISK
2015-11-02,2016-02-05,2016-07-08,-0.08392952761232741,171,65,0.7143023255813953,0.6048290908317088,0.38369384688113517,RISK_OFF
2018-01-24,2018-03-28,2018-06-12,-0.08234538728808549,96,44,0.6571134020618556,0.6515533168863995,0.44923148070859387,CUSTOM
2020-08-31,2020-10-28,2020-12-29,-0.06595875052533284,83,41,0.4438095238095238,0.7671165407010259,0.5110708438739433,RISK_OFF
