,importance
ma_gap_60_120,0.04821523636882563
ma200_slope_60,0.047649332338118085
ma_gap_50_200,0.0474000200204226
trend_slope_60,0.04559745927644332
return_120d,0.043588055710729566
ma_gap_20_60,0.042172407369810296
price_ma_120_gap,0.03980386809333083
price_ma_200_gap,0.03700079820543853
return_60d,0.035476605792364495
positive_return_ratio_60,0.03244648039496193
down_volume_ratio_20,0.03231397752478231
price_ma_60_gap,0.0304156895467641
high_volume_down_ratio_20,0.027914623800565357
trend_slope_20,0.027081180282363806
large_down_day_ratio_20,0.026084014773553623
price_position_60,0.025963609993697092
drawdown_60,0.02410308129592089
positive_return_ratio_20,0.02312520109920851
ma_gap_5_20,0.022620013436406024
drawdown_120,0.021190559411364135
return_20d,0.020334481603640597
large_up_day_ratio_10,0.020176286484846578
large_up_day_ratio_20,0.019766146813737347
price_ma_20_gap,0.01679106097042908
trend_slope_10,0.016574733768634144
positive_return_ratio_10,0.01637363322481092
drawdown_10,0.016204118110065807
close_to_60d_high,0.016123295924025737
trend_slope_5,0.016031442637627367
drawdown_20,0.015855737921522214
return_10d,0.01569209162358126
trend_consistency_60,0.015148236297786102
price_position_10_minus_20,0.014306268762719275
return_5d,0.012716705438270722
volume_ratio_20,0.010774917847551737
price_position_5_minus_20,0.009130794497347475
price_position_20,0.00885572978898251
volume_shock_rank_252,0.008756953001682718
drawdown_5,0.008582943772789947
price_position_10,0.008434631907249919
volume_zscore_20,0.00807891762746121
large_down_day_ratio_10,0.007382816096694677
close_to_10d_high,0.00601543311547305
trend_consistency_20,0.005847165538441567
close_to_20d_high,0.0038664211086662753
bearish_ma_stack,0.0020168200604414794
