,importance
ma200_slope_60,0.05550579868242263
ma_gap_50_200,0.05279408621330125
ma_gap_60_120,0.04926379421164119
trend_slope_60,0.046473826229062286
price_ma_200_gap,0.045026495846127904
ma_gap_20_60,0.04427431855860743
return_120d,0.04223053737130988
large_down_day_ratio_20,0.042131077455234756
drawdown_120,0.03881198360001676
trend_slope_20,0.03592124663716984
price_ma_60_gap,0.0349799563900599
price_ma_120_gap,0.034083665577262376
drawdown_60,0.033680723125490614
return_60d,0.03339919222032352
positive_return_ratio_60,0.03249235556642008
large_up_day_ratio_20,0.030394863841196176
trend_consistency_60,0.028145832918299776
return_20d,0.024563340793108745
price_position_60,0.023671696529856404
ma_gap_5_20,0.023080475473848526
price_position_10_minus_20,0.02189004684184929
positive_return_ratio_20,0.02086018032804575
trend_slope_10,0.016796024512929747
large_down_day_ratio_10,0.015121099304307127
large_up_day_ratio_10,0.01505480652641771
positive_return_ratio_10,0.014584248721052611
return_10d,0.014475846319876995
drawdown_20,0.014294106186421159
price_ma_20_gap,0.013829453925681596
close_to_60d_high,0.013627856725453592
drawdown_10,0.01353761615690827
price_position_5_minus_20,0.012899476057634548
trend_slope_5,0.011704751510926202
return_5d,0.010542398254435125
drawdown_5,0.008951201279174596
trend_consistency_20,0.008806458017456211
price_position_20,0.007804268388546974
price_position_10,0.0055802425610261075
close_to_10d_high,0.004109118725099261
close_to_20d_high,0.0037780694048186497
bearish_ma_stack,0.0008274633529788208
