,importance
ulcer_index_60,0.044618551557563016
vol_of_vol_20,0.04441307305699281
parkinson_vol_60,0.04287706801505198
parkinson_vol_20,0.042644405452024546
downside_vol_60,0.040659625363159216
atr_pct_60,0.03999867006542257
yang_zhang_vol_60,0.03996164822144367
ewma_vol_60,0.0382920715247377
realized_vol_60,0.03675111420699746
ulcer_rank_252,0.03569341235561296
atr_rank_252,0.035504996992896186
realized_vol_20,0.035234428418334574
yang_zhang_vol_20,0.034586026449110324
bb_width_20,0.03416916486804396
bb_width_rank_252,0.034149533033592486
garman_klass_vol_20,0.03273639391882748
ulcer_index_20,0.03265236197932522
atr_ratio_20_60,0.029574597525222797
downside_vol_20,0.0291476233318145
ewma_vol_20,0.028044362016006498
keltner_width_20,0.027772029336610726
realized_vol_ratio_10_20,0.02750196556336873
realized_vol_10,0.026430897520705394
rogers_satchell_vol_20,0.024145497202894942
atr_ratio_14_60,0.023436627135182905
atr_pct_20,0.02218189899465848
downside_vol_10,0.021801063734557598
atr_pct_14,0.019824357000794005
semi_vol_10,0.01964695960616934
semi_vol_20,0.019607920437313926
atr_pct_10,0.01565461808567061
atr_pct_5,0.014102328197984048
true_range_pct,0.0061847085233614684
