feature,stage1_importance,downrisk_importance,mean_importance,max_importance,importance_gap_stage1_minus_downrisk,is_low_importance_candidate,used_more_by,stage1_rank,downrisk_rank,mean_rank
ma200_slope_60,0.014151759807386302,0.041616578541563226,0.027884169174474765,0.041616578541563226,-0.027464818734176923,False,downrisk,21,1,1
ma_gap_50_200,0.014625855783436684,0.04017336912426689,0.027399612453851786,0.04017336912426689,-0.025547513340830205,False,downrisk,17,2,2
drawdown_120,0.02472310591081854,0.02898785680313997,0.026855481356979256,0.02898785680313997,-0.00426475089232143,False,downrisk,5,9,3
ma_gap_60_120,0.014088194036351828,0.03744943653445032,0.025768815285401075,0.03744943653445032,-0.02336124249809849,False,downrisk,22,3,4
price_ma_200_gap,0.016602239844764374,0.03334394185604672,0.024973090850405548,0.03334394185604672,-0.016741702011282347,False,downrisk,12,6,5
trend_slope_60,0.01222304544817523,0.034795724122203574,0.0235093847851894,0.034795724122203574,-0.022572678674028346,False,downrisk,32,4,6
return_120d,0.014419388906967397,0.031476873987209796,0.022948131447088595,0.031476873987209796,-0.0170574850802424,False,downrisk,20,7,7
drawdown_60,0.020340367538751923,0.024857681779606358,0.02259902465917914,0.024857681779606358,-0.004517314240854435,False,downrisk,8,14,8
ma_gap_20_60,0.011431858590748604,0.03335620504786055,0.022394031819304577,0.03335620504786055,-0.021924346457111943,False,downrisk,40,5,9
atr_pct_20,0.03968627242237932,0.004929310887701884,0.022307791655040602,0.03968627242237932,0.03475696153467744,False,stage1,1,65,10
large_down_day_ratio_20,0.010621941511566374,0.031155258554179298,0.020888600032872837,0.031155258554179298,-0.020533317042612922,False,downrisk,43,8,11
price_ma_120_gap,0.015365449311387253,0.02541697669664038,0.020391213004013815,0.02541697669664038,-0.010051527385253129,False,downrisk,15,12,12
price_ma_60_gap,0.014467861343435952,0.025976000353796623,0.020221930848616287,0.025976000353796623,-0.011508139010360671,False,downrisk,18,11,13
return_60d,0.013050639437948583,0.024713606112484177,0.01888212277521638,0.024713606112484177,-0.011662966674535594,False,downrisk,28,15,14
trend_slope_20,0.010374252727983514,0.026641815808050195,0.018508034268016855,0.026641815808050195,-0.01626756308006668,False,downrisk,47,10,15
semi_vol_20,0.032552187776240145,0.004357315652736428,0.018454751714488286,0.032552187776240145,0.028194872123503717,False,stage1,2,70,16
positive_return_ratio_60,0.010166832970039,0.02499847817377391,0.017582655571906455,0.02499847817377391,-0.01483164520373491,False,downrisk,50,13,17
atr_pct_14,0.0301996754838037,0.004405412666843112,0.017302544075323407,0.0301996754838037,0.025794262816960588,False,stage1,3,67,18
keltner_width_20,0.02643667220261358,0.006171562074802384,0.016304117138707983,0.02643667220261358,0.020265110127811195,False,stage1,4,58,19
large_up_day_ratio_20,0.008613003011781811,0.02249671673244147,0.01555485987211164,0.02249671673244147,-0.013883713720659658,False,downrisk,60,16,20
price_position_60,0.013303774623607982,0.017640263969817035,0.015472019296712509,0.017640263969817035,-0.004336489346209053,False,downrisk,26,19,21
atr_rank_252,0.021294267343667645,0.007889999331754709,0.014592133337711177,0.021294267343667645,0.013404268011912936,False,stage1,7,46,22
return_20d,0.01026834017448848,0.018596424349260617,0.014432382261874549,0.018596424349260617,-0.008328084174772137,False,downrisk,49,17,23
yang_zhang_vol_20,0.020213425242781385,0.00768578365535785,0.013949604449069617,0.020213425242781385,0.012527641587423536,False,stage1,9,49,24
close_to_60d_high,0.014446674109005167,0.01325822596678862,0.013852450037896893,0.014446674109005167,0.0011884481422165475,False,stage1,19,23,25
down_volume_ratio_20,0.016084665183341944,0.010344111096827195,0.01321438814008457,0.016084665183341944,0.005740554086514749,False,stage1,13,30,26
ma_gap_5_20,0.009718155018812727,0.01666589407901849,0.013192024548915608,0.01666589407901849,-0.006947739060205764,False,downrisk,55,20,27
trend_consistency_60,0.007566921152742691,0.01804003543917515,0.01280347829595892,0.01804003543917515,-0.01047311428643246,False,downrisk,65,18,28
atr_pct_10,0.021841964560215792,0.003478804019037914,0.012660384289626854,0.021841964560215792,0.018363160541177877,False,stage1,6,74,29
parkinson_vol_20,0.015380554681686344,0.009476534544894345,0.012428544613290345,0.015380554681686344,0.005904020136791999,False,stage1,14,38,30
garman_klass_vol_20,0.01757017941199069,0.0072747542041838855,0.012422466808087288,0.01757017941199069,0.010295425207806803,False,stage1,11,52,31
downside_vol_20,0.018257569783369065,0.0064772496292921115,0.012367409706330589,0.018257569783369065,0.011780320154076953,False,stage1,10,56,32
price_position_10_minus_20,0.007771550381077095,0.016595393981529167,0.012183472181303131,0.016595393981529167,-0.008823843600452071,False,downrisk,63,21,33
atr_pct_60,0.014670836097514165,0.008888593347871683,0.011779714722692923,0.014670836097514165,0.005782242749642482,False,stage1,16,40,34
drawdown_20,0.012388924307627364,0.010731938610652997,0.01156043145914018,0.012388924307627364,0.0016569856969743668,False,stage1,31,28,35
high_volume_down_ratio_20,0.010331906951712823,0.011859600370621712,0.011095753661167267,0.011859600370621712,-0.0015276934189088886,False,downrisk,48,25,36
positive_return_ratio_20,0.007341868584609031,0.014565195266167244,0.010953531925388137,0.014565195266167244,-0.007223326681558213,False,downrisk,66,22,37
trend_slope_10,0.009300918547581652,0.01258702943823263,0.010943973992907141,0.01258702943823263,-0.0032861108906509784,False,downrisk,58,24,38
ulcer_index_60,0.011860454635184613,0.009915233679458449,0.010887844157321531,0.011860454635184613,0.0019452209557261641,False,stage1,36,34,39
parkinson_vol_60,0.011780994536835235,0.009528237336678218,0.010654615936756727,0.011780994536835235,0.002252757200157017,False,stage1,38,36,40
ewma_vol_60,0.012693651298225936,0.00850934922771949,0.010601500262972713,0.012693651298225936,0.004184302070506445,False,stage1,30,43,41
ulcer_index_20,0.01356076948055517,0.00725608043985005,0.010408424960202611,0.01356076948055517,0.00630468904070512,False,stage1,25,53,42
realized_vol_20,0.012901831809098699,0.007829872981852127,0.010365852395475413,0.012901831809098699,0.005071958827246571,False,stage1,29,47,43
downside_vol_60,0.011681959439657576,0.00903547230292427,0.010358715871290922,0.011681959439657576,0.0026464871367333064,False,stage1,39,39,44
price_ma_20_gap,0.010385606201626138,0.009970533900431849,0.010178070051028994,0.010385606201626138,0.00041507230119428896,False,stage1,46,33,45
yang_zhang_vol_60,0.011222878538925821,0.008880366271431928,0.010051622405178874,0.011222878538925821,0.002342512267493893,False,stage1,42,41,46
