,importance
ulcer_index_60,0.04659152026694741
yang_zhang_vol_60,0.04643815794972599
realized_vol_60,0.045434825200428595
atr_pct_60,0.04540343533754201
parkinson_vol_60,0.045094185852951975
downside_vol_60,0.0421979086892125
ulcer_rank_252,0.03845877107371399
ewma_vol_60,0.038421326343687105
bb_width_rank_252,0.03799672047274986
realized_vol_20,0.03765986917313144
ulcer_index_20,0.035556297709378654
bb_width_20,0.03466106192134912
vol_of_vol_20,0.034559631337215825
atr_ratio_20_60,0.03179078633501564
downside_vol_20,0.03127308811276129
atr_rank_252,0.029819422856697145
semi_vol_20,0.02905567212349972
downside_vol_10,0.027893653047771843
realized_vol_ratio_10_20,0.027104215202064276
rogers_satchell_vol_20,0.027027809571581966
parkinson_vol_20,0.026455227155811226
atr_ratio_14_60,0.026373673626891567
garman_klass_vol_20,0.02581910467900646
yang_zhang_vol_20,0.023618420075518006
realized_vol_10,0.022347018106966206
atr_pct_14,0.021921782405115664
atr_pct_5,0.02073225102088015
ewma_vol_20,0.020203418426775435
atr_pct_10,0.019284746100080186
semi_vol_10,0.018874268118481037
keltner_width_20,0.01823205004320554
atr_pct_20,0.016695400601778355
true_range_pct,0.007004280674505386
