,importance
ma200_slope_60,0.03935106471920061
ma_gap_60_120,0.03695244237150655
ma_gap_50_200,0.03632258403175441
ma_gap_20_60,0.033514273388235705
large_down_day_ratio_20,0.03322396243633324
trend_slope_60,0.031607811150512276
price_ma_200_gap,0.03148191018695201
drawdown_60,0.029123992311804778
positive_return_ratio_60,0.02908247393552911
drawdown_120,0.028876343077295863
return_120d,0.02830136398100286
price_ma_120_gap,0.024912946987956312
trend_consistency_60,0.023586596300492042
trend_slope_20,0.02295743915351402
return_60d,0.02259818431339483
ma_gap_5_20,0.021661907152671727
price_ma_60_gap,0.021377860365737918
price_position_60,0.02091529918993849
large_up_day_ratio_20,0.020237032547153734
return_20d,0.019416519380196264
price_ma_20_gap,0.01817611982532564
drawdown_20,0.018043691911868567
close_to_60d_high,0.0174618885764931
positive_return_ratio_20,0.015863310264628193
return_10d,0.013209586366558923
trend_slope_10,0.013141428998889072
drawdown_10,0.011501044416284793
price_position_20,0.010744653571240204
large_down_day_ratio_10,0.010433214543068229
parkinson_vol_60,0.010224789367784209
downside_vol_60,0.010117849453542927
realized_vol_60,0.009881690150801078
ulcer_index_60,0.009843915209185424
down_volume_ratio_20,0.009606052132781654
yang_zhang_vol_60,0.009475490094332016
price_position_10_minus_20,0.009012756485502411
atr_pct_60,0.008821997616392425
atr_ratio_20_60,0.00851588018969066
return_5d,0.00834743334749357
atr_rank_252,0.008324293184270295
ulcer_index_20,0.00800928775926582
ewma_vol_60,0.007837489509410545
parkinson_vol_20,0.007773545191205346
positive_return_ratio_10,0.007761458378000598
downside_vol_20,0.007741564258099888
vol_of_vol_20,0.007531318472785797
ulcer_rank_252,0.007272434735498245
price_position_5_minus_20,0.0071364644657396685
atr_ratio_14_60,0.007129872442186996
large_up_day_ratio_10,0.006919766160617608
high_volume_down_ratio_20,0.006668758301727138
yang_zhang_vol_20,0.00664947314554993
trend_slope_5,0.00642625255933179
bb_width_20,0.0062543484286216875
bb_width_rank_252,0.006209211944913119
garman_klass_vol_20,0.0062056720245050965
realized_vol_20,0.005983413407884783
trend_consistency_20,0.00595869499831945
semi_vol_20,0.005744999543963062
atr_pct_14,0.0056044472264972205
realized_vol_ratio_10_20,0.005542182651528271
rogers_satchell_vol_20,0.005480006910643146
close_to_20d_high,0.005392094303396361
downside_vol_10,0.005321443524735514
semi_vol_10,0.005207591564314461
ewma_vol_20,0.005129721965672608
atr_pct_10,0.0050864672791988644
realized_vol_10,0.004906028445363102
close_to_10d_high,0.004782203177917778
keltner_width_20,0.004265690797760654
atr_pct_20,0.0042179346920649735
atr_pct_5,0.004093710788529953
price_position_10,0.003908584051927908
drawdown_5,0.003740235957733093
volume_zscore_20,0.002412093609530496
volume_shock_rank_252,0.002293903602837836
volume_ratio_20,0.0022842526132321427
true_range_pct,0.0018184595344894546
bearish_ma_stack,0.0010498266626185913
