,importance
parkinson_vol_60,0.04601155215502894
downside_vol_60,0.04553032254094317
realized_vol_60,0.04446760567860485
ulcer_index_60,0.0442976184413344
yang_zhang_vol_60,0.042639705424494065
atr_pct_60,0.03969898927376591
atr_ratio_20_60,0.03832146085360797
atr_rank_252,0.037459319329216326
ulcer_index_20,0.03604179491669619
ewma_vol_60,0.03526870279234745
parkinson_vol_20,0.034980953360424054
downside_vol_20,0.03483703916144949
vol_of_vol_20,0.033890933127536084
ulcer_rank_252,0.0327259563097421
atr_ratio_14_60,0.03208442598984148
yang_zhang_vol_20,0.029922629154974685
bb_width_20,0.02814456792879759
bb_width_rank_252,0.027941453752109033
garman_klass_vol_20,0.027925524110272933
realized_vol_20,0.026925360335481523
semi_vol_20,0.025852497947833775
atr_pct_14,0.02522001251923749
realized_vol_ratio_10_20,0.02493982193187722
rogers_satchell_vol_20,0.024660031097894154
downside_vol_10,0.023946495861309813
semi_vol_10,0.02343416203941507
ewma_vol_20,0.023083748845526733
atr_pct_10,0.02288910275639489
realized_vol_10,0.02207712800413396
keltner_width_20,0.019195608589922943
atr_pct_20,0.01898070611429238
atr_pct_5,0.018421698548384786
true_range_pct,0.008183067905202545
