,importance
ma200_slope_60,0.04859461435966844
ma_gap_60_120,0.04744288384810918
ma_gap_50_200,0.04635206058377489
ma_gap_20_60,0.042826857439534266
trend_slope_60,0.04017465794112511
large_down_day_ratio_20,0.03944056197476115
price_ma_200_gap,0.038304841145295615
positive_return_ratio_60,0.036111296548615286
return_120d,0.0344654780336506
drawdown_120,0.032809720079621046
price_ma_120_gap,0.03248727211445969
drawdown_60,0.03220327833523264
return_60d,0.029223025107981696
price_ma_60_gap,0.028583485802964933
trend_slope_20,0.028232244888804704
down_volume_ratio_20,0.027074660646966158
large_up_day_ratio_20,0.026578731957540316
ma_gap_5_20,0.023817744387333587
return_20d,0.023474416725562944
price_position_60,0.02334310577989238
close_to_60d_high,0.022508353785803868
drawdown_20,0.022213548355567683
high_volume_down_ratio_20,0.021740541294714186
price_ma_20_gap,0.02120327406991569
trend_consistency_60,0.020869091907072635
trend_slope_10,0.01791996309186779
return_10d,0.017295413808304665
positive_return_ratio_20,0.0165380765469135
drawdown_10,0.015371417820764085
price_position_20,0.01419600701828607
large_down_day_ratio_10,0.013813544653997284
price_position_10_minus_20,0.012276894369971984
return_5d,0.011983776767674642
positive_return_ratio_10,0.011862744664973607
large_up_day_ratio_10,0.010583829715277904
close_to_20d_high,0.008523360966512608
volume_ratio_20,0.008178339322757749
price_position_5_minus_20,0.0079397472977617
volume_zscore_20,0.0077388927294079965
trend_slope_5,0.006900987563486048
volume_shock_rank_252,0.006657547782933328
price_position_10,0.006409952420220915
drawdown_5,0.0060410719759400105
close_to_10d_high,0.004746555287893566
trend_consistency_20,0.003749919377104749
bearish_ma_stack,0.0011962096997728898
