,importance
ma200_slope_60,0.05477567456130471
ma_gap_50_200,0.051892359593203145
ma_gap_60_120,0.0490826693989913
trend_slope_60,0.04481744013506137
return_120d,0.039113545079811636
ma_gap_20_60,0.038778415130692
return_20d,0.03721816808083243
price_ma_200_gap,0.0367105095539291
price_ma_120_gap,0.034957271786258806
large_up_day_ratio_20,0.032806693005286866
trend_slope_20,0.032076678242216106
large_down_day_ratio_20,0.03207091028947154
return_60d,0.03170870952777073
price_ma_60_gap,0.030752371599119793
ma_gap_5_20,0.02950701756887452
drawdown_120,0.02945201344661496
drawdown_60,0.028808495363346228
price_ma_20_gap,0.02667429515488385
positive_return_ratio_60,0.026145168765016557
positive_return_ratio_20,0.026039307552670674
drawdown_20,0.025902943224840175
trend_slope_10,0.024559707100706873
price_position_60,0.021460237613480006
return_10d,0.021104645049836973
trend_consistency_60,0.017859505908933305
price_position_20,0.017685200590806614
large_down_day_ratio_10,0.01757528992935217
return_5d,0.015298372464120991
large_up_day_ratio_10,0.015274298405298424
price_position_10_minus_20,0.014506978544107239
drawdown_10,0.012837800860685844
trend_slope_5,0.012686387399703057
trend_consistency_20,0.011838534741573745
price_position_10,0.010216606487076552
close_to_60d_high,0.009838504341175957
close_to_20d_high,0.00921345086184345
price_position_5_minus_20,0.008393552164148239
positive_return_ratio_10,0.007465287876281461
drawdown_5,0.006453943755259966
close_to_10d_high,0.003727279965662294
bearish_ma_stack,0.0027137595295373884
