,importance
ma200_slope_60,0.05100576355055507
ma_gap_50_200,0.050929540181569456
ma_gap_60_120,0.04773574470556692
trend_slope_60,0.04432804929462099
return_120d,0.035628299641468894
ma_gap_20_60,0.03558477755590473
price_ma_200_gap,0.03444396054773177
price_ma_120_gap,0.03248974362375318
down_volume_ratio_20,0.032235854187063755
high_volume_down_ratio_20,0.03214853624203464
return_60d,0.03179840123376048
return_20d,0.030800651724954758
trend_slope_20,0.030108821898927943
large_up_day_ratio_20,0.03000197225339925
large_down_day_ratio_20,0.026932481067469493
drawdown_120,0.02662240515559143
ma_gap_5_20,0.02655174246123467
price_ma_60_gap,0.026062053128881085
drawdown_60,0.0245910186498631
trend_slope_10,0.02432704434977495
positive_return_ratio_60,0.02403183167870526
drawdown_20,0.023580881419576823
price_ma_20_gap,0.0229577835259353
price_position_60,0.019990386575319995
return_10d,0.018768907256647555
positive_return_ratio_20,0.01689219601232455
close_to_60d_high,0.01611896113738314
large_down_day_ratio_10,0.01605507736750287
price_position_10_minus_20,0.01572652527806534
large_up_day_ratio_10,0.01564261594894416
price_position_20,0.014504134621737259
return_5d,0.013256649054898251
drawdown_10,0.013096841228414431
trend_slope_5,0.010776809314385958
volume_ratio_20,0.009781556561176245
price_position_10,0.009063365982405635
volume_shock_rank_252,0.008975754631498445
trend_consistency_60,0.008816824350986512
close_to_20d_high,0.008552870096334826
positive_return_ratio_10,0.008198339549366326
price_position_5_minus_20,0.007988022563661197
volume_zscore_20,0.007397310027348188
drawdown_5,0.0061497413385835
close_to_10d_high,0.0038788066913617684
trend_consistency_20,0.0033364402987654247
bearish_ma_stack,0.002134504247575052
