,importance
ma200_slope_60,0.03957403797668206
ma_gap_60_120,0.038852235552303764
ma_gap_50_200,0.03854504851273789
return_120d,0.03733039816830806
trend_slope_60,0.034521739479780364
ma_gap_20_60,0.031615732464983705
price_ma_200_gap,0.031257019000446876
positive_return_ratio_60,0.02859150413897548
price_ma_120_gap,0.02769483007651861
return_60d,0.027392943157487845
trend_slope_20,0.025862901101238504
positive_return_ratio_20,0.023772929543591052
price_ma_60_gap,0.023719128567067475
large_down_day_ratio_20,0.022985237099807643
drawdown_60,0.02244508624379893
trend_consistency_60,0.021649637406447993
ma_gap_5_20,0.019799284220326313
large_up_day_ratio_20,0.019462466916965397
drawdown_120,0.018961519866610377
return_20d,0.018029314250339518
price_position_60,0.017390368298119893
price_ma_20_gap,0.013360187210787165
large_up_day_ratio_10,0.013261003153613397
return_5d,0.01320611156507739
trend_slope_10,0.013051286677520816
price_position_10_minus_20,0.012122422122432254
return_10d,0.012116397180789119
down_volume_ratio_20,0.011748806549582345
drawdown_20,0.01128145502308405
close_to_60d_high,0.011247828902144517
positive_return_ratio_10,0.011098498192626484
ulcer_index_60,0.01065804183138857
drawdown_10,0.010591222210685855
downside_vol_60,0.009484126963085994
realized_vol_60,0.009402634883734743
yang_zhang_vol_60,0.009249794643577334
downside_vol_20,0.00901839686220929
trend_consistency_20,0.008929131738492493
atr_rank_252,0.008770469013189673
parkinson_vol_60,0.008594787924762362
large_down_day_ratio_10,0.00857625466332454
atr_pct_60,0.008465455903103363
ewma_vol_60,0.008295559083640073
high_volume_down_ratio_20,0.008273736359095743
bb_width_20,0.008118965489611937
trend_slope_5,0.007966739777934995
price_position_10,0.007926906910160507
vol_of_vol_20,0.007884979596933534
atr_ratio_20_60,0.007597836571362862
bb_width_rank_252,0.007585964464417017
ulcer_rank_252,0.007534328989818656
atr_ratio_14_60,0.007483503199862567
realized_vol_20,0.0074744417483661564
ulcer_index_20,0.007144663867259783
yang_zhang_vol_20,0.006707949808394665
semi_vol_20,0.006481140445804099
downside_vol_10,0.006357504636839437
price_position_5_minus_20,0.006240336279000026
realized_vol_10,0.006066433348726523
garman_klass_vol_20,0.005894779605099872
rogers_satchell_vol_20,0.005839763002571153
ewma_vol_20,0.005635374030213297
parkinson_vol_20,0.005473722532782731
realized_vol_ratio_10_20,0.005379819965652787
price_position_20,0.0053566899404241895
semi_vol_10,0.0048952902549564345
drawdown_5,0.0047619110057363495
atr_pct_10,0.004311373499685092
keltner_width_20,0.004121668686229174
volume_ratio_20,0.004042227755740492
atr_pct_14,0.003794980172929806
atr_pct_5,0.0037037942545527797
close_to_10d_high,0.003129437102503398
atr_pct_20,0.003083343578569162
volume_shock_rank_252,0.0030127497286047346
volume_zscore_20,0.002701514277504954
close_to_20d_high,0.0024556767370394143
bearish_ma_stack,0.001865885223753133
true_range_pct,0.0017113333985580988
