,importance
ma200_slope_60,0.05227654093750826
ma_gap_60_120,0.0508378935972735
ma_gap_50_200,0.05027754600011995
return_120d,0.049503357402817715
trend_slope_60,0.04600258293268982
price_ma_200_gap,0.04135708653946437
ma_gap_20_60,0.041130559696328076
positive_return_ratio_60,0.03718376458421098
price_ma_120_gap,0.03691689493141547
return_60d,0.03662325049518831
trend_slope_20,0.033964804968548826
trend_consistency_60,0.033520319942562354
positive_return_ratio_20,0.032997657579486146
price_ma_60_gap,0.03151573652622386
large_down_day_ratio_20,0.03071349026637137
drawdown_60,0.03046984439286115
ma_gap_5_20,0.026895171451167064
large_up_day_ratio_20,0.026017666590170904
drawdown_120,0.025032437940512502
return_20d,0.024778277816487445
price_position_60,0.022290611855818758
price_ma_20_gap,0.017846215048877408
large_up_day_ratio_10,0.017800993611296966
trend_slope_10,0.017700373863171703
return_5d,0.01763813002440974
price_position_10_minus_20,0.0162610719477622
trend_consistency_20,0.01601514506748774
return_10d,0.01580932079146834
drawdown_20,0.015437393112704971
positive_return_ratio_10,0.015124762332850388
drawdown_10,0.01415348165273682
large_down_day_ratio_10,0.011848550236974252
close_to_60d_high,0.011737840837754664
trend_slope_5,0.010335001029907578
price_position_10,0.010053884567097403
price_position_5_minus_20,0.00804255986521538
price_position_20,0.007424835453945441
drawdown_5,0.0065376305341603245
close_to_10d_high,0.004282249666247812
close_to_20d_high,0.003348190958301226
bearish_ma_stack,0.0022968734103617156
