,importance
ma200_slope_60,0.04902005934670183
ma_gap_60_120,0.048772848527213294
ma_gap_50_200,0.04859841753805374
return_120d,0.04598671796783391
trend_slope_60,0.04222844119575466
ma_gap_20_60,0.04000645113318035
price_ma_200_gap,0.03862827494872147
positive_return_ratio_60,0.03619615963797846
down_volume_ratio_20,0.035246419648747036
price_ma_120_gap,0.0338619636543352
return_60d,0.03334782881221246
trend_slope_20,0.032302296678983745
price_ma_60_gap,0.02913640366623729
large_down_day_ratio_20,0.028004390944261104
positive_return_ratio_20,0.027321911858124954
drawdown_60,0.026708799540915245
high_volume_down_ratio_20,0.02482120907728723
large_up_day_ratio_20,0.023697178630668315
ma_gap_5_20,0.02353762405942285
drawdown_120,0.023507975679147797
price_position_60,0.02245028908660133
return_20d,0.02105023899570196
trend_consistency_60,0.020255152295927503
close_to_60d_high,0.018093032256094
price_ma_20_gap,0.01628560823385828
return_5d,0.016100827996019182
large_up_day_ratio_10,0.016048351312444236
trend_slope_10,0.01555336154833351
return_10d,0.015270097153742904
price_position_10_minus_20,0.01468583710361383
drawdown_20,0.013261174252312187
positive_return_ratio_10,0.0131291448007456
drawdown_10,0.012902357761741801
volume_ratio_20,0.012126683267221475
price_position_10,0.010375541307684982
trend_slope_5,0.01012021796059488
large_down_day_ratio_10,0.00993069700734128
volume_shock_rank_252,0.009038249185814204
volume_zscore_20,0.008104542832514862
price_position_5_minus_20,0.007997595683379571
price_position_20,0.006170289216011981
drawdown_5,0.005568892304995282
trend_consistency_20,0.005433868458827159
close_to_10d_high,0.0036786450858464436
close_to_20d_high,0.0029027756000499405
bearish_ma_stack,0.002535157790777111
