,importance
ma200_slope_60,0.05084987789265893
ma_gap_50_200,0.05015155045169642
ma_gap_60_120,0.046661990855927656
trend_slope_60,0.04242838691136548
ma_gap_20_60,0.04104207887053596
price_ma_200_gap,0.039991333693107
return_120d,0.03813330650039475
large_down_day_ratio_20,0.03728679430371683
high_volume_down_ratio_20,0.03558908884103099
drawdown_120,0.03522430427302237
trend_slope_20,0.03203153362615951
positive_return_ratio_60,0.03167247754708302
price_ma_60_gap,0.03127757169163993
down_volume_ratio_20,0.031045254949565296
price_ma_120_gap,0.03077594415582199
drawdown_60,0.029666082847388534
return_60d,0.02962036606578973
large_up_day_ratio_20,0.026976262305637762
return_20d,0.023038285849445003
close_to_60d_high,0.02160428805528061
price_position_60,0.02135900757847204
price_position_10_minus_20,0.02059954415825713
ma_gap_5_20,0.019223893833831034
trend_consistency_60,0.016592511794962257
positive_return_ratio_20,0.015801021437500676
trend_slope_10,0.015366475344293692
drawdown_20,0.013137034970563873
return_10d,0.013116852617843375
large_down_day_ratio_10,0.012841480059756173
volume_ratio_20,0.012471421037699902
drawdown_10,0.012145546238152458
large_up_day_ratio_10,0.012108054365001855
volume_zscore_20,0.011744315715322811
price_ma_20_gap,0.011472330938669898
volume_shock_rank_252,0.011368623024036567
price_position_5_minus_20,0.011333281008225482
positive_return_ratio_10,0.011206296170481465
trend_slope_5,0.01043451513234888
return_5d,0.009383078600746688
drawdown_5,0.008976681492525146
price_position_20,0.006652942212808523
price_position_10,0.005671166970315094
close_to_20d_high,0.00458143717084553
close_to_10d_high,0.0033949044916967283
trend_consistency_20,0.003222440332469959
bearish_ma_stack,0.0007283645109199579
