,importance
ma_gap_50_200,0.04881545689471914
ma200_slope_60,0.045795680882575115
ma_gap_60_120,0.043506315282900776
trend_slope_60,0.03720259137348579
return_120d,0.037202248782904186
positive_return_ratio_60,0.03322527674940452
price_ma_200_gap,0.03033144204245759
ma_gap_20_60,0.0294403511091202
return_60d,0.02795337145127193
price_ma_120_gap,0.02707851905707513
trend_consistency_60,0.027030405741653794
price_ma_60_gap,0.024319109950905315
drawdown_120,0.024096083632983246
trend_slope_20,0.022470087815176835
drawdown_60,0.022173114701137656
ma_gap_5_20,0.019324532488374964
large_down_day_ratio_20,0.019098398795435977
return_20d,0.017838562377101276
price_ma_20_gap,0.016818000568628044
price_position_60,0.01671991581376478
positive_return_ratio_20,0.01615965442564745
trend_slope_10,0.015498017184818212
price_position_10_minus_20,0.014330835722229153
price_position_20,0.013438002929181589
return_10d,0.013251940984720557
large_up_day_ratio_20,0.011613327722225349
positive_return_ratio_10,0.010530806331463815
down_volume_ratio_20,0.010472555081558687
yang_zhang_vol_60,0.01037052919259919
ulcer_index_60,0.010346946570565646
atr_pct_60,0.010093279527742548
realized_vol_60,0.010077626766851321
parkinson_vol_60,0.010032517713846925
trend_slope_5,0.009448240285596762
downside_vol_60,0.009365819107143233
close_to_60d_high,0.009243792586925405
return_5d,0.009188601456767326
high_volume_down_ratio_20,0.009123725999853814
drawdown_20,0.008636063542380092
ewma_vol_60,0.008570815326696889
ulcer_rank_252,0.008552334819262522
bb_width_rank_252,0.008423809867969844
realized_vol_20,0.00837920579588701
drawdown_10,0.008354707859125066
ulcer_index_20,0.0079156589057245
bb_width_20,0.007705532071859013
vol_of_vol_20,0.007636645451562588
atr_ratio_20_60,0.007102557238498523
downside_vol_20,0.006921083600464301
price_position_5_minus_20,0.006675083473849569
atr_rank_252,0.0065963118909495785
semi_vol_20,0.006472834861037409
price_position_10,0.006226634596015211
downside_vol_10,0.006195298588485252
realized_vol_ratio_10_20,0.006018825593512315
rogers_satchell_vol_20,0.005993916102947021
parkinson_vol_20,0.0058601294071134345
atr_ratio_14_60,0.005859476424359661
garman_klass_vol_20,0.005735050493172113
yang_zhang_vol_20,0.005216118809500154
realized_vol_10,0.005005067958750284
large_down_day_ratio_10,0.004979189898052074
atr_pct_14,0.004885616225565783
atr_pct_5,0.004605111438839334
trend_consistency_20,0.004551230017563929
large_up_day_ratio_10,0.00450327483905012
ewma_vol_20,0.004485004564479249
atr_pct_10,0.004248430140396971
semi_vol_10,0.004224461611195852
volume_shock_rank_252,0.004084697301824769
keltner_width_20,0.00408317628883259
volume_ratio_20,0.003964483584880966
volume_zscore_20,0.0036870497375400707
atr_pct_20,0.0036630916484178063
drawdown_5,0.0036139937582073856
close_to_10d_high,0.0026072590370421057
close_to_20d_high,0.00235858138942618
true_range_pct,0.0015799382122512898
bearish_ma_stack,0.0007965630437764858
