,importance
ma_gap_50_200,0.061197518136367084
ma200_slope_60,0.056443616387523
ma_gap_60_120,0.05493343279822656
return_120d,0.0462510995391298
trend_slope_60,0.045778233685442024
positive_return_ratio_60,0.042080053888697413
ma_gap_20_60,0.03672305972819837
price_ma_200_gap,0.03610809547004349
return_60d,0.03472198340462036
price_ma_120_gap,0.03373730564970405
down_volume_ratio_20,0.03141766524467606
price_ma_60_gap,0.02933970355661586
drawdown_120,0.028986947833641714
trend_slope_20,0.028120180559588853
high_volume_down_ratio_20,0.027371177999561444
drawdown_60,0.027024906983281236
large_down_day_ratio_20,0.024387880581401525
trend_consistency_60,0.02390593828068444
ma_gap_5_20,0.023165659797895286
return_20d,0.022040188198656007
price_ma_20_gap,0.020912980363290343
trend_slope_10,0.019303484887738403
price_position_60,0.019195557457380115
return_10d,0.016645135552694444
close_to_60d_high,0.016157274965995123
price_position_10_minus_20,0.015976617178354885
positive_return_ratio_20,0.015840663901938584
price_position_20,0.015827223074521744
large_up_day_ratio_20,0.01443004851280998
volume_shock_rank_252,0.012254091905474308
positive_return_ratio_10,0.01220211756645724
trend_slope_5,0.01204734378027044
volume_ratio_20,0.0118934507546429
volume_zscore_20,0.011061149212620212
return_5d,0.01065873957486474
drawdown_20,0.010492571797809679
drawdown_10,0.010100887929183955
price_position_5_minus_20,0.008191073626568098
price_position_10,0.007713059107839991
large_down_day_ratio_10,0.006124817828614531
large_up_day_ratio_10,0.005581401879132341
drawdown_5,0.004276682843319288
trend_consistency_20,0.0035675869282660267
close_to_10d_high,0.0026268804453254218
close_to_20d_high,0.0021832750783124496
bearish_ma_stack,0.0010012366424595554
