feature,stage1_importance,downrisk_importance,mean_importance,max_importance,importance_gap_stage1_minus_downrisk,is_low_importance_candidate,used_more_by,stage1_rank,downrisk_rank,mean_rank
drawdown_60,0.06144418871785063,0.022173114701137656,0.041808651709494146,0.06144418871785063,0.039271074016712974,False,stage1,1,15,1
drawdown_120,0.04550335512070137,0.024096083632983246,0.03479971937684231,0.04550335512070137,0.02140727148771812,False,stage1,3,13,2
ma_gap_50_200,0.012414365926595507,0.04881545689471914,0.030614911410657322,0.04881545689471914,-0.036401090968123634,False,downrisk,26,1,3
ma_gap_60_120,0.014997190462299697,0.043506315282900776,0.029251752872600238,0.043506315282900776,-0.028509124820601077,False,downrisk,17,3,4
ma200_slope_60,0.01085104264775365,0.045795680882575115,0.02832336176516438,0.045795680882575115,-0.03494463823482147,False,downrisk,35,2,5
close_to_60d_high,0.047312863288324375,0.009243792586925405,0.02827832793762489,0.047312863288324375,0.03806907070139897,False,stage1,2,36,6
price_ma_120_gap,0.023187833812294736,0.02707851905707513,0.025133176434684934,0.02707851905707513,-0.0038906852447803952,False,downrisk,7,10,7
return_120d,0.012986983230572178,0.037202248782904186,0.025094616006738183,0.037202248782904186,-0.024215265552332006,False,downrisk,23,5,8
price_ma_200_gap,0.01649311664200901,0.03033144204245759,0.0234122793422333,0.03033144204245759,-0.013838325400448579,False,downrisk,12,7,9
trend_slope_60,0.00905241833938889,0.03720259137348579,0.02312750485643734,0.03720259137348579,-0.0281501730340969,False,downrisk,49,4,10
positive_return_ratio_60,0.00826643804014436,0.03322527674940452,0.020745857394774442,0.03322527674940452,-0.02495883870926016,False,downrisk,55,6,11
price_position_60,0.023624640052153225,0.01671991581376478,0.020172277932959004,0.023624640052153225,0.006904724238388445,False,stage1,6,20,12
ma_gap_20_60,0.009987132280782265,0.0294403511091202,0.019713741694951232,0.0294403511091202,-0.019453218828337934,False,downrisk,42,8,13
atr_pct_5,0.03437421311112606,0.004605111438839334,0.019489662274982698,0.03437421311112606,0.029769101672286725,False,stage1,4,64,14
price_ma_60_gap,0.012235380361802065,0.024319109950905315,0.01827724515635369,0.024319109950905315,-0.01208372958910325,False,downrisk,30,12,15
return_60d,0.007516073340758296,0.02795337145127193,0.017734722396015114,0.02795337145127193,-0.020437298110513633,False,downrisk,61,9,16
trend_consistency_60,0.005688623743264456,0.027030405741653794,0.016359514742459124,0.027030405741653794,-0.021341781998389337,False,downrisk,69,11,17
