model,prob_col,actual_col,positive_value,threshold,precision,recall,f1,pred_positive_ratio,support_positive,support_negative
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.1,0.41007194244604317,0.9970845481049563,0.5811384876805438,0.9937444146559428,1372,1985
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.15,0.42722117202268434,0.9883381924198251,0.5965684117905852,0.9454870420017873,1372,1985
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.2,0.45518701482004237,0.9402332361516035,0.6134094151212554,0.8442061364313375,1372,1985
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.25,0.4871589085072231,0.8848396501457726,0.6283643892339544,0.7423294608281203,1372,1985
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.3,0.5305936073059361,0.8469387755102041,0.652442448062886,0.6523681858802503,1372,1985
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.35,0.5747785304846275,0.8039358600583091,0.6703129747797022,0.5716413464402741,1372,1985
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.4,0.6167061611374408,0.7587463556851312,0.6803921568627451,0.502829907655645,1372,1985
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.45,0.6497395833333334,0.7274052478134111,0.686382393397524,0.4575513851653262,1372,1985
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.5,0.6841721371261853,0.6836734693877551,0.6839227123587314,0.40840035746201964,1372,1985
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.55,0.7113654946852003,0.6341107871720116,0.6705202312138728,0.36431337503723565,1372,1985
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.6,0.7488284910965324,0.5823615160349854,0.6551865518655187,0.3178433124813822,1372,1985
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.65,0.7950108459869848,0.5342565597667639,0.6390584132519617,0.2746499851057492,1372,1985
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.7,0.8198757763975155,0.48104956268221577,0.6063389986219568,0.2397974381888591,1372,1985
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.75,0.8609865470852018,0.4198250728862974,0.5644292013718766,0.19928507596067918,1372,1985
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.8,0.9013282732447818,0.3462099125364432,0.5002632964718273,0.1569854036341972,1372,1985
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.85,0.9177631578947368,0.2033527696793003,0.3329355608591885,0.09055704498063748,1372,1985
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.9,0.7741935483870968,0.01749271137026239,0.03421240199572345,0.009234435507893953,1372,1985
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.1,0.41007194244604317,0.9970845481049563,0.5811384876805438,0.9937444146559428,1372,1985
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.15,0.42722117202268434,0.9883381924198251,0.5965684117905852,0.9454870420017873,1372,1985
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.2,0.45518701482004237,0.9402332361516035,0.6134094151212554,0.8442061364313375,1372,1985
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.25,0.4871589085072231,0.8848396501457726,0.6283643892339544,0.7423294608281203,1372,1985
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.3,0.5305936073059361,0.8469387755102041,0.652442448062886,0.6523681858802503,1372,1985
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.35,0.5747785304846275,0.8039358600583091,0.6703129747797022,0.5716413464402741,1372,1985
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.4,0.6167061611374408,0.7587463556851312,0.6803921568627451,0.502829907655645,1372,1985
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.45,0.6497395833333334,0.7274052478134111,0.686382393397524,0.4575513851653262,1372,1985
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.5,0.6841721371261853,0.6836734693877551,0.6839227123587314,0.40840035746201964,1372,1985
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.55,0.7113654946852003,0.6341107871720116,0.6705202312138728,0.36431337503723565,1372,1985
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.6,0.7488284910965324,0.5823615160349854,0.6551865518655187,0.3178433124813822,1372,1985
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.65,0.7950108459869848,0.5342565597667639,0.6390584132519617,0.2746499851057492,1372,1985
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.7,0.8198757763975155,0.48104956268221577,0.6063389986219568,0.2397974381888591,1372,1985
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.75,0.8609865470852018,0.4198250728862974,0.5644292013718766,0.19928507596067918,1372,1985
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.8,0.9013282732447818,0.3462099125364432,0.5002632964718273,0.1569854036341972,1372,1985
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.85,0.9177631578947368,0.2033527696793003,0.3329355608591885,0.09055704498063748,1372,1985
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.9,0.7741935483870968,0.01749271137026239,0.03421240199572345,0.009234435507893953,1372,1985
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.1,0.17992177314211213,0.9452054794520548,0.3023001095290252,0.9139112302651177,584,2773
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.15,0.18013527945888216,0.8664383561643836,0.2982611258473327,0.8367590110217457,584,2773
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.2,0.175357280803399,0.7773972602739726,0.28616451307910495,0.7712243074173369,584,2773
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.25,0.18087408048463868,0.7157534246575342,0.2887737478411054,0.688412272862675,584,2773
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.3,0.18214285714285713,0.6113013698630136,0.2806603773584906,0.5838546321120047,584,2773
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.35,0.17501585288522511,0.4726027397260274,0.2554372975474317,0.4697646708370569,584,2773
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.4,0.17857142857142858,0.3852739726027397,0.2440347071583514,0.3753351206434316,584,2773
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.45,0.1827027027027027,0.2893835616438356,0.2239893969516236,0.2755436401549002,584,2773
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.5,0.17272727272727273,0.1952054794520548,0.1832797427652733,0.1966041108132261,584,2773
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.55,0.1574279379157428,0.12157534246575342,0.13719806763285025,0.13434614238903783,584,2773
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.6,0.1,0.04965753424657534,0.06636155606407322,0.08638665475126601,584,2773
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.65,0.09644670050761421,0.032534246575342464,0.04865556978233035,0.05868334822758415,584,2773
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.7,0.11016949152542373,0.02226027397260274,0.037037037037037035,0.03515043193327376,584,2773
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.75,0.07608695652173914,0.011986301369863013,0.020710059171597635,0.027405421507298182,584,2773
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.8,0.0975609756097561,0.00684931506849315,0.0128,0.012213285671730712,584,2773
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.85,0.0,0.0,0.0,0.0,584,2773
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.9,0.0,0.0,0.0,0.0,584,2773
up_strength_score,prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,0.1,0.33893985728848114,0.9313725490196079,0.4970104633781764,0.5844504021447721,714,2643
up_strength_score,prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,0.15,0.3954659949622166,0.8795518207282913,0.5456125108601216,0.47304140601727734,714,2643
up_strength_score,prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,0.2,0.43014705882352944,0.819327731092437,0.5641272902603665,0.4051236222817992,714,2643
up_strength_score,prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,0.25,0.45062240663900416,0.7605042016806722,0.5659197498697238,0.3589514447423295,714,2643
up_strength_score,prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,0.3,0.455637707948244,0.6904761904761905,0.5489977728285078,0.3223115877271373,714,2643
up_strength_score,prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,0.35,0.4584199584199584,0.6176470588235294,0.5262529832935561,0.2865653857610962,714,2643
up_strength_score,prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,0.4,0.47630057803468207,0.5770308123249299,0.5218492716909436,0.25767053917187965,714,2643
up_strength_score,prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,0.45,0.5012919896640827,0.5434173669467787,0.521505376344086,0.23056300268096513,714,2643
up_strength_score,prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,0.5,0.5276162790697675,0.5084033613445378,0.5178316690442225,0.20494489127196902,714,2643
up_strength_score,prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,0.55,0.5577889447236181,0.46638655462184875,0.5080091533180778,0.1778373547810545,714,2643
up_strength_score,prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,0.6,0.579047619047619,0.4257703081232493,0.4907183212267958,0.15638963360142985,714,2643
up_strength_score,prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,0.65,0.556390977443609,0.31092436974789917,0.39892183288409705,0.11885612153708669,714,2643
up_strength_score,prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,0.7,0.5714285714285714,0.25210084033613445,0.3498542274052478,0.0938337801608579,714,2643
up_strength_score,prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,0.75,0.6170212765957447,0.16246498599439776,0.2572062084257206,0.05600238308013107,714,2643
up_strength_score,prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,0.8,0.6632653061224489,0.09103641456582633,0.16009852216748768,0.02919273160560024,714,2643
up_strength_score,prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,0.85,0.8235294117647058,0.0196078431372549,0.038303693570451436,0.00506404527852249,714,2643
up_strength_score,prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,0.9,0.0,0.0,0.0,0.0,714,2643
stage1_h10,prob_high_vol_h10,actual_risk_h10,고변동,0.1,0.41011067903081067,0.999271137026239,0.5815482502651114,0.9958296097706285,1372,1985
stage1_h10,prob_high_vol_h10,actual_risk_h10,고변동,0.15,0.4220472440944882,0.9766763848396501,0.5893996041345942,0.945784927018171,1372,1985
stage1_h10,prob_high_vol_h10,actual_risk_h10,고변동,0.2,0.4491289198606272,0.9395043731778425,0.6077322017916077,0.8549299970211498,1372,1985
stage1_h10,prob_high_vol_h10,actual_risk_h10,고변동,0.25,0.4880095923261391,0.8899416909620991,0.6303562209602478,0.7453083109919572,1372,1985
stage1_h10,prob_high_vol_h10,actual_risk_h10,고변동,0.3,0.5225547119249665,0.8527696793002916,0.6480199390750485,0.6669645516830504,1372,1985
stage1_h10,prob_high_vol_h10,actual_risk_h10,고변동,0.35,0.5555555555555556,0.8126822157434402,0.6599585676235573,0.5978552278820375,1372,1985
stage1_h10,prob_high_vol_h10,actual_risk_h10,고변동,0.4,0.5943661971830986,0.7689504373177842,0.6704798220527487,0.5287459040810247,1372,1985
stage1_h10,prob_high_vol_h10,actual_risk_h10,고변동,0.45,0.632484076433121,0.7237609329446064,0.6750509857239972,0.4676794757223712,1372,1985
stage1_h10,prob_high_vol_h10,actual_risk_h10,고변동,0.5,0.6683238636363636,0.6858600583090378,0.676978417266187,0.41942210306821565,1372,1985
stage1_h10,prob_high_vol_h10,actual_risk_h10,고변동,0.55,0.6983372921615202,0.6428571428571429,0.669449715370019,0.3762287756925827,1372,1985
stage1_h10,prob_high_vol_h10,actual_risk_h10,고변동,0.6,0.729802513464991,0.5925655976676385,0.6540627514078842,0.33184390825141497,1372,1985
stage1_h10,prob_high_vol_h10,actual_risk_h10,고변동,0.65,0.7634069400630915,0.5291545189504373,0.625053809728799,0.28328865058087577,1372,1985
stage1_h10,prob_high_vol_h10,actual_risk_h10,고변동,0.7,0.8108776266996292,0.478134110787172,0.6015589179275561,0.2409889782543938,1372,1985
stage1_h10,prob_high_vol_h10,actual_risk_h10,고변동,0.75,0.8471810089020771,0.4161807580174927,0.5581622678396871,0.20077450104259756,1372,1985
stage1_h10,prob_high_vol_h10,actual_risk_h10,고변동,0.8,0.8803738317757009,0.3432944606413994,0.4939695857367593,0.1593684837652666,1372,1985
stage1_h10,prob_high_vol_h10,actual_risk_h10,고변동,0.85,0.9008746355685131,0.22521865889212828,0.36034985422740523,0.10217456061960084,1372,1985
stage1_h10,prob_high_vol_h10,actual_risk_h10,고변동,0.9,0.8571428571428571,0.043731778425655975,0.08321775312066575,0.02085195114685731,1372,1985
down_strength_10d,prob_down_strengthening_10d,actual_direction_strength_10d,DOWN_STRENGTHENING,0.1,0.14959871589085072,0.9728601252609603,0.2593210907067334,0.9279118260351504,479,2878
down_strength_10d,prob_down_strengthening_10d,actual_direction_strength_10d,DOWN_STRENGTHENING,0.15,0.16053876956680013,0.9206680584551148,0.27340359578425294,0.8182901400059577,479,2878
