feature,stage1_importance,downrisk_importance,mean_importance,max_importance,importance_gap_stage1_minus_downrisk,is_low_importance_candidate,used_more_by,stage1_rank,downrisk_rank,mean_rank
ma200_slope_60,0.014764157778006933,0.03935035707131751,0.027057257424662223,0.03935035707131751,-0.024586199293310577,False,downrisk,21,1,1
ma_gap_60_120,0.016071259922076326,0.036953501248316645,0.026512380585196484,0.036953501248316645,-0.02088224132624032,False,downrisk,14,2,2
ma_gap_50_200,0.014995411261354872,0.036342284635718085,0.02566884794853648,0.036342284635718085,-0.021346873374363213,False,downrisk,19,3,3
price_ma_200_gap,0.01748706892659169,0.031482617607759784,0.02448484326717574,0.031482617607759784,-0.013995548681168094,False,downrisk,8,7,4
ma_gap_20_60,0.014293777237952103,0.03351664223841258,0.023905209738182342,0.03351664223841258,-0.019222865000460478,False,downrisk,24,4,5
trend_slope_60,0.014358955706166665,0.031611058453255625,0.022985007079711146,0.031611058453255625,-0.01725210274708896,False,downrisk,23,6,6
large_down_day_ratio_20,0.011240851556067355,0.03322173288704686,0.02223129222155711,0.03322173288704686,-0.02198088133097951,False,downrisk,47,5,7
drawdown_60,0.015209352240379389,0.0291226538821806,0.022166003061279995,0.0291226538821806,-0.013913301641801212,False,downrisk,18,8,8
return_120d,0.014979364403333174,0.028303308551740954,0.021641336477537063,0.028303308551740954,-0.01332394414840778,False,downrisk,20,11,9
price_ma_120_gap,0.01644513209127278,0.02491413071901849,0.020679631405145636,0.02491413071901849,-0.008468998627745711,False,downrisk,13,12,10
drawdown_120,0.012131264385740024,0.028896885106567544,0.020514074746153785,0.028896885106567544,-0.016765620720827518,False,downrisk,44,10,11
positive_return_ratio_60,0.011014890031551731,0.02908211311209067,0.0200485015718212,0.02908211311209067,-0.018067223080538937,False,downrisk,48,9,12
atr_pct_20,0.03213883881385084,0.004215370773746775,0.018177104793798807,0.03213883881385084,0.027923468040104062,False,stage1,1,71,13
return_60d,0.012644404569506324,0.022598159069132664,0.017621281819319493,0.022598159069132664,-0.00995375449962634,False,downrisk,37,15,14
trend_slope_20,0.012158258273923401,0.022959015162787838,0.01755863671835562,0.022959015162787838,-0.010800756888864437,False,downrisk,43,14,15
ma_gap_5_20,0.01199643768672508,0.021659266381351863,0.01682785203403847,0.021659266381351863,-0.009662828694626783,False,downrisk,45,16,16
return_20d,0.013588932006169917,0.019414956019744876,0.016501944012957397,0.019414956019744876,-0.00582602401357496,False,downrisk,28,20,17
price_ma_60_gap,0.011487370458665297,0.021376741059161222,0.01643205575891326,0.021376741059161222,-0.009889370600495925,False,downrisk,46,17,18
parkinson_vol_20,0.024172421818779155,0.007769394779253551,0.015970908299016352,0.024172421818779155,0.016403027039525606,False,stage1,3,43,19
semi_vol_20,0.026117145581381573,0.005748351586823897,0.015932748584102735,0.026117145581381573,0.020368793994557675,False,stage1,2,59,20
trend_consistency_60,0.008229762155823418,0.023577438519741582,0.0159036003377825,0.023577438519741582,-0.015347676363918164,False,downrisk,65,13,21
price_ma_20_gap,0.012367096722416121,0.018176457127248486,0.015271776924832304,0.018176457127248486,-0.005809360404832365,False,downrisk,41,21,22
drawdown_20,0.01238770763290274,0.01804447071183793,0.015216089172370335,0.01804447071183793,-0.005656763078935189,False,downrisk,40,22,23
atr_rank_252,0.021706105017940337,0.008342928815120996,0.015024516916530666,0.021706105017940337,0.01336317620281934,False,stage1,4,40,24
price_position_60,0.00842241370178055,0.02090995335236896,0.014666183527074755,0.02090995335236896,-0.012487539650588408,False,downrisk,63,18,25
large_up_day_ratio_20,0.008846393852922668,0.02023626475546072,0.014541329304191693,0.02023626475546072,-0.011389870902538051,False,downrisk,60,19,26
close_to_60d_high,0.01086968722723661,0.01745938365138259,0.014164535439309598,0.01745938365138259,-0.0065896964241459795,False,downrisk,49,23,27
parkinson_vol_60,0.01782906500046097,0.010225657573133227,0.014027361286797099,0.01782906500046097,0.007603407427327742,False,stage1,7,30,28
ewma_vol_60,0.01836878693286544,0.007831121366791349,0.013099954149828393,0.01836878693286544,0.01053766556607409,False,stage1,5,42,29
downside_vol_20,0.017466299948518144,0.007754586501458884,0.012610443224988513,0.017466299948518144,0.00971171344705926,False,stage1,9,45,30
positive_return_ratio_20,0.0087370094478256,0.015863239260726504,0.012300124354276052,0.015863239260726504,-0.007126229812900904,False,downrisk,62,24,31
