,importance
ewma_vol_60,0.027181677723244018
yang_zhang_vol_60,0.02655967261128512
atr_pct_20,0.023210695117634874
atr_pct_14,0.02312559256645886
parkinson_vol_20,0.02185380158955504
atr_pct_60,0.01999573615617082
semi_vol_20,0.01987867727814499
atr_pct_10,0.019818001677141716
realized_vol_60,0.019500624712120967
parkinson_vol_60,0.018968060311534727
garman_klass_vol_20,0.01860464637158498
keltner_width_20,0.017980075822191476
price_ma_200_gap,0.016693675458396135
downside_vol_20,0.01627578931645494
rogers_satchell_vol_20,0.016251010814725998
ma200_slope_60,0.015951651697313145
downside_vol_60,0.015826238057920747
atr_rank_252,0.015794608450130275
drawdown_120,0.01576229406090504
ma_gap_50_200,0.015456012577199125
semi_vol_10,0.015271853157751066
ulcer_index_60,0.01521943075059671
ulcer_index_20,0.015070042165707348
realized_vol_20,0.014589231760582484
downside_vol_10,0.014528472665771251
vol_of_vol_20,0.014359810725311815
yang_zhang_vol_20,0.014308002335614191
ma_gap_60_120,0.01411706940797601
bb_width_rank_252,0.014017454639889322
bb_width_20,0.013991035224838319
atr_ratio_20_60,0.013698094076134443
ma_gap_20_60,0.013675667746509943
drawdown_60,0.013507147999296159
ewma_vol_20,0.013144436343794488
atr_pct_5,0.013029792821769314
trend_slope_60,0.012979090406299782
price_ma_120_gap,0.012963220042972049
return_120d,0.01269501170197997
ulcer_rank_252,0.012281537968235733
price_ma_20_gap,0.01225274085378
price_ma_60_gap,0.012209230582494268
atr_ratio_14_60,0.01208384561912334
down_volume_ratio_20,0.012000236273807887
positive_return_ratio_60,0.011769872284709154
realized_vol_10,0.011581045280879138
return_60d,0.011133595590572152
high_volume_down_ratio_20,0.010954832761189975
trend_slope_20,0.010854632520181078
return_20d,0.010441395521497941
price_position_60,0.009948744940442022
drawdown_20,0.009690854622556163
close_to_60d_high,0.009582453493157306
price_position_20,0.009494275562477896
large_up_day_ratio_20,0.009467193538194618
realized_vol_ratio_10_20,0.009381336816890297
ma_gap_5_20,0.008831397908175454
down_volume_ratio_10,0.0086164636754441
return_5d_minus_20d,0.008300012872784883
trend_consistency_60,0.008234543290214672
positive_return_ratio_20,0.00818369808739734
drawdown_10,0.008016086519261542
return_10d_minus_20d,0.007976690258926413
large_up_day_ratio_10,0.007450442917587001
true_range_pct,0.0073632869112890105
large_down_day_ratio_20,0.007362966784397045
return_10d,0.007276416119046709
trend_slope_10,0.006856273213522904
price_position_10,0.006697611660463678
volume_ratio_20,0.0065999330115970685
trend_slope_5,0.006545877932214555
return_5d,0.00636049530637845
volume_shock_rank_252,0.006279531481321476
volume_zscore_20,0.006120807658398628
price_position_10_minus_20,0.006036102498044437
drawdown_5,0.005686608977769191
close_to_20d_high,0.005541651597583936
large_down_day_ratio_10,0.005531697704720991
trend_consistency_20,0.00464886737048916
high_volume_down_ratio_10,0.0045849751322604125
positive_return_ratio_10,0.004553028716939494
price_position_5_minus_20,0.004471837379574098
close_to_10d_high,0.004377054806282681
bearish_ma_stack,0.0005144086913094812
