,importance
ma200_slope_60,0.049029954874496316
ma_gap_60_120,0.04879857823880951
ma_gap_50_200,0.04860444858347783
return_120d,0.0459988480711001
trend_slope_60,0.04224263124411837
ma_gap_20_60,0.0400259006151279
price_ma_200_gap,0.03863077824401747
positive_return_ratio_60,0.036208335372355085
down_volume_ratio_20,0.03524057539263075
price_ma_120_gap,0.03386942690017999
return_60d,0.033355907917284065
trend_slope_20,0.03231542536516264
price_ma_60_gap,0.029143897778773124
large_down_day_ratio_20,0.028003800713035855
positive_return_ratio_20,0.027328461383668973
drawdown_60,0.026709222568324694
high_volume_down_ratio_20,0.024831850080758274
large_up_day_ratio_20,0.023630269534242826
ma_gap_5_20,0.023540057615242575
drawdown_120,0.023517318622214674
price_position_60,0.0222830169775065
return_20d,0.02104953661817865
trend_consistency_60,0.0202808353526976
close_to_60d_high,0.018098899717664436
price_ma_20_gap,0.016285746409605978
return_5d,0.016102850710388063
large_up_day_ratio_10,0.01605434233317196
trend_slope_10,0.01559812198672536
return_10d,0.015270624164980883
price_position_10_minus_20,0.014644009163483076
drawdown_20,0.013270719628688686
positive_return_ratio_10,0.01312888245604607
drawdown_10,0.012902761916010147
volume_ratio_20,0.01213509139155836
price_position_10,0.010375620742663506
trend_slope_5,0.0101198890392663
large_down_day_ratio_10,0.009931055812298186
volume_shock_rank_252,0.009032452896621728
volume_zscore_20,0.008105310059377983
price_position_5_minus_20,0.008002647184415736
price_position_20,0.0061702675110219775
drawdown_5,0.00556889970753146
trend_consistency_20,0.0054398891516029835
close_to_10d_high,0.003680113885026898
close_to_20d_high,0.0029075523831009393
bearish_ma_stack,0.0025351748465456897
