start_date,trough_date,recovery_date,depth,duration_days,days_to_trough,avg_stock_weight,avg_prob_high_vol,avg_prob_down_risk,trough_regime
2021-11-17,2022-12-23,2023-06-13,-0.2508212796893974,393,277,0.5724365482233502,0.6742288544425392,0.5289140459776328,EXTREME_RISK
2025-02-14,2025-04-04,2025-07-01,-0.13140022999173528,93,34,0.6200000000000002,0.6142736584831194,0.45818459546263096,EXTREME_RISK
2024-07-08,2024-09-04,2024-12-02,-0.11776314837255963,103,41,0.8267307692307693,0.43156405486283794,0.3864590716810602,WATCH
2025-10-27,2026-03-26,2026-04-15,-0.1164112974497642,116,103,0.8097435897435897,0.4929153993095025,0.5027523700854638,CUSTOM
2020-02-14,2020-03-16,2020-04-27,-0.10879580257105881,49,20,0.5088,0.7847140902251708,0.503700676870087,EXTREME_RISK
2023-07-17,2023-10-24,2023-11-10,-0.1065785177242129,83,70,0.8716666666666667,0.3815956654052756,0.4411714221258586,NORMAL
2018-08-27,2018-12-20,2019-03-11,-0.09881242980230831,133,80,0.581492537313433,0.6664879214556617,0.42447763149776246,EXTREME_RISK
2015-07-16,2015-08-21,2015-10-21,-0.09456564672118994,68,26,0.7802898550724636,0.6182572317315131,0.38297923443341486,WATCH
2015-11-02,2016-02-05,2016-07-08,-0.08353886295735224,171,65,0.7152325581395349,0.6047008974182523,0.3833675681461871,RISK_OFF
2018-01-24,2018-02-06,2018-05-30,-0.07348820185468785,87,9,0.6263636363636363,0.6798819901024408,0.4447996821628241,WATCH
