,importance
atr_pct_10,0.03973388359886557
drawdown_120,0.03327931436112363
drawdown_60,0.030356786021406554
atr_pct_14,0.030175332429020534
rogers_satchell_vol_20,0.02718831555582241
atr_pct_5,0.02707315203891027
garman_klass_vol_20,0.023257746241777944
parkinson_vol_20,0.021835732467147793
close_to_60d_high,0.021726278302074725
semi_vol_20,0.020430462753644123
drawdown_20,0.020343870046908418
price_ma_120_gap,0.0195565322944839
semi_vol_10,0.01838522871511241
atr_pct_20,0.01808029596594722
close_to_20d_high,0.01744139479555925
price_ma_200_gap,0.016323611104795303
price_position_60,0.015457722229055233
atr_pct_60,0.015100072450271304
downside_vol_20,0.015085739593251631
atr_rank_252,0.015048204278649618
downside_vol_10,0.014180236387003803
price_ma_60_gap,0.01383105674354045
ulcer_index_20,0.013805390607803785
ma_gap_60_120,0.013688101569959333
realized_vol_20,0.013423512459347703
yang_zhang_vol_20,0.013274083342698832
return_120d,0.012752943456732845
ewma_vol_60,0.012691200709302812
price_position_20,0.01226433620794278
price_ma_20_gap,0.01193819738023555
downside_vol_60,0.011878806625082646
parkinson_vol_60,0.011798135522916536
return_20d,0.011710397594773289
yang_zhang_vol_60,0.011612971544453767
ulcer_index_60,0.011433369952548731
ulcer_rank_252,0.01119711826016548
ma200_slope_60,0.010947453733977108
atr_ratio_20_60,0.010870067924568301
ewma_vol_20,0.010792991751100451
trend_slope_60,0.010602499000910145
ma_gap_50_200,0.010593287374903743
drawdown_10,0.010560844907746603
ma_gap_20_60,0.010397651227293185
price_position_10,0.010396489314059312
down_volume_ratio_10,0.01026869937104421
realized_vol_60,0.01014130180359759
down_volume_ratio_20,0.009930120634534332
trend_slope_20,0.009824693824106766
realized_vol_10,0.009634942009150051
atr_ratio_14_60,0.009561318654562903
vol_of_vol_20,0.009442247198003026
return_10d,0.0093680275467849
return_5d,0.009254098889724692
positive_return_ratio_60,0.008968849197694835
bb_width_20,0.008960028261162012
bb_width_rank_252,0.008813048450339546
keltner_width_20,0.008740322068531117
return_60d,0.008509741663031506
trend_slope_5,0.008334768626694328
realized_vol_ratio_10_20,0.008104161611270914
ma_gap_5_20,0.008052502429682326
trend_slope_10,0.007794452754405072
high_volume_down_ratio_20,0.007471852931433075
close_to_10d_high,0.007207920083947968
price_position_10_minus_20,0.006980413738332688
drawdown_5,0.006906895072432466
trend_consistency_60,0.0068467257984333885
positive_return_ratio_20,0.006484936944731985
true_range_pct,0.00634100317047197
return_5d_minus_20d,0.006295582652838343
high_volume_down_ratio_10,0.005653845533432769
return_10d_minus_20d,0.005386045205622871
price_position_5_minus_20,0.005204909031529078
positive_return_ratio_10,0.004914879552459405
large_up_day_ratio_20,0.004673281868221354
volume_ratio_20,0.004027684468469704
trend_consistency_20,0.0038081195549989747
volume_zscore_20,0.0037710758959812146
large_down_day_ratio_20,0.0036949208398067324
volume_shock_rank_252,0.0034976140737593858
large_up_day_ratio_10,0.0025780698555507345
large_down_day_ratio_10,0.001856308957824709
bearish_ma_stack,0.0001737713867889455
