model,prob_col,actual_col,positive_value,threshold,precision,recall,f1,pred_positive_ratio,support_positive,support_negative
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.1,0.49177330895795246,0.9969116738727609,0.6586410936543563,0.9776586237712243,1619,1738
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.15,0.5073201782304265,0.9845583693638048,0.6696072253728208,0.9359547214775097,1619,1738
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.2,0.5114229765013055,0.967881408276714,0.6692291266282298,0.912719690199583,1619,1738
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.25,0.5260235947258848,0.9363804817788759,0.6736280826483004,0.858504617217754,1619,1738
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.3,0.5496714340935447,0.8783199505867819,0.6761768901569187,0.7706285373845696,1619,1738
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.35,0.5847688123300091,0.7967881408276714,0.6745098039215687,0.6571343461423891,1619,1738
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.4,0.6176470588235294,0.7263743051266214,0.6676128299744536,0.5671730711945189,1619,1738
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.45,0.6482593037214885,0.6670784434836319,0.6575342465753424,0.49627643729520404,1619,1738
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.5,0.6671348314606742,0.586781964175417,0.6243838317449885,0.4241882633303545,1619,1738
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.55,0.7007481296758105,0.5206917850525016,0.5974486180014175,0.3583556747095621,1619,1738
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.6,0.7300194931773879,0.46263125386040765,0.566351606805293,0.30563002680965146,1619,1738
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.65,0.7653061224489796,0.4169240271772699,0.5397840863654538,0.26273458445040215,1619,1738
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.7,0.8093278463648834,0.3644224830142063,0.5025553662691652,0.21715817694369974,1619,1738
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.75,0.8592321755027422,0.29030265596046945,0.4339796860572484,0.16294310396187073,1619,1738
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.8,0.8883116883116883,0.2112415071031501,0.3413173652694611,0.11468573130771523,1619,1738
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.85,0.910377358490566,0.1192093885114268,0.21081376297105406,0.06315162347333929,1619,1738
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.9,1.0,0.0030883261272390363,0.006157635467980296,0.0014894250819183796,1619,1738
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.1,0.49177330895795246,0.9969116738727609,0.6586410936543563,0.9776586237712243,1619,1738
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.15,0.5073201782304265,0.9845583693638048,0.6696072253728208,0.9359547214775097,1619,1738
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.2,0.5114229765013055,0.967881408276714,0.6692291266282298,0.912719690199583,1619,1738
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.25,0.5260235947258848,0.9363804817788759,0.6736280826483004,0.858504617217754,1619,1738
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.3,0.5496714340935447,0.8783199505867819,0.6761768901569187,0.7706285373845696,1619,1738
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.35,0.5847688123300091,0.7967881408276714,0.6745098039215687,0.6571343461423891,1619,1738
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.4,0.6176470588235294,0.7263743051266214,0.6676128299744536,0.5671730711945189,1619,1738
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.45,0.6482593037214885,0.6670784434836319,0.6575342465753424,0.49627643729520404,1619,1738
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.5,0.6671348314606742,0.586781964175417,0.6243838317449885,0.4241882633303545,1619,1738
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.55,0.7007481296758105,0.5206917850525016,0.5974486180014175,0.3583556747095621,1619,1738
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.6,0.7300194931773879,0.46263125386040765,0.566351606805293,0.30563002680965146,1619,1738
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.65,0.7653061224489796,0.4169240271772699,0.5397840863654538,0.26273458445040215,1619,1738
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.7,0.8093278463648834,0.3644224830142063,0.5025553662691652,0.21715817694369974,1619,1738
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.75,0.8592321755027422,0.29030265596046945,0.4339796860572484,0.16294310396187073,1619,1738
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.8,0.8883116883116883,0.2112415071031501,0.3413173652694611,0.11468573130771523,1619,1738
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.85,0.910377358490566,0.1192093885114268,0.21081376297105406,0.06315162347333929,1619,1738
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.9,1.0,0.0030883261272390363,0.006157635467980296,0.0014894250819183796,1619,1738
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.1,0.17174136161477935,0.847972972972973,0.2856330014224751,0.8707179028894847,592,2765
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.15,0.1793478260869565,0.7804054054054054,0.2916666666666667,0.7673518022043492,592,2765
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.2,0.18733153638814015,0.7043918918918919,0.29595457771469125,0.6630920464700626,592,2765
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.25,0.20171214553237024,0.6368243243243243,0.3063795205201138,0.5567470956210903,592,2765
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.3,0.2082018927444795,0.5574324324324325,0.3031694993109784,0.4721477509681263,592,2765
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.35,0.21036814425244177,0.47297297297297297,0.2912116484659386,0.3964849568066726,592,2765
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.4,0.18076923076923077,0.31756756756756754,0.23039215686274508,0.30980041703902295,592,2765
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.45,0.16393442622950818,0.2195945945945946,0.18772563176895307,0.236222817992255,592,2765
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.5,0.15609756097560976,0.16216216216216217,0.15907207953603977,0.18319928507596067,592,2765
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.55,0.14910025706940874,0.09797297297297297,0.11824668705402651,0.11587727137324992,592,2765
