,importance
ma_gap_50_200,0.06118375711172583
ma200_slope_60,0.05652111437400833
ma_gap_60_120,0.05479853943226829
return_120d,0.04625970226184036
trend_slope_60,0.04573205890344633
positive_return_ratio_60,0.04222379204547328
ma_gap_20_60,0.03675632630631934
price_ma_200_gap,0.036092627692842
return_60d,0.034719476074517135
price_ma_120_gap,0.0335065252831324
down_volume_ratio_20,0.03143485710091819
price_ma_60_gap,0.02948906920417877
drawdown_120,0.028931965659712514
trend_slope_20,0.0280993960775468
high_volume_down_ratio_20,0.027285254443995655
drawdown_60,0.027159312144032725
large_down_day_ratio_20,0.02437072930791016
trend_consistency_60,0.023888029487783756
ma_gap_5_20,0.022958844826216736
return_20d,0.022039868928711966
price_ma_20_gap,0.020831010518743406
trend_slope_10,0.019232694240238903
price_position_60,0.019173487585725353
return_10d,0.016603731327377896
close_to_60d_high,0.016267464806636173
price_position_10_minus_20,0.01597021859405296
price_position_20,0.015871181377160756
positive_return_ratio_20,0.015856826679997278
large_up_day_ratio_20,0.014414471763706792
volume_shock_rank_252,0.012257215650086957
positive_return_ratio_10,0.012244851373012237
trend_slope_5,0.012087464628296272
volume_ratio_20,0.011897231489124279
volume_zscore_20,0.011181253804366745
return_5d,0.010614443763881268
drawdown_10,0.010393725255155351
drawdown_20,0.010392699784314832
price_position_5_minus_20,0.00807311880080739
price_position_10,0.00792431401206404
large_down_day_ratio_10,0.006175708833671663
large_up_day_ratio_10,0.00560810779395055
drawdown_5,0.004355636615415163
trend_consistency_20,0.0033743871848971123
close_to_10d_high,0.0026130868779820583
close_to_20d_high,0.0021331830544763114
bearish_ma_stack,0.0010012366424595554
