,importance
ulcer_index_60,0.04648288414030084
yang_zhang_vol_60,0.04648156925095319
realized_vol_60,0.045445858261137756
atr_pct_60,0.045385051769064
parkinson_vol_60,0.04508412207637559
downside_vol_60,0.042040458004478184
ulcer_rank_252,0.03847823510757677
ewma_vol_60,0.03836553851382748
bb_width_rank_252,0.03800716198470798
realized_vol_20,0.03769266404999634
ulcer_index_20,0.035623763771813144
bb_width_20,0.034657839425129906
vol_of_vol_20,0.0345183921611077
atr_ratio_20_60,0.03189613865337349
downside_vol_20,0.03147994360713508
atr_rank_252,0.029884689063143764
semi_vol_20,0.02901606300258122
downside_vol_10,0.027896554625291923
realized_vol_ratio_10_20,0.027115150308403942
rogers_satchell_vol_20,0.02689187377848337
parkinson_vol_20,0.026467484554612182
atr_ratio_14_60,0.026346649762657878
garman_klass_vol_20,0.0258993366335903
yang_zhang_vol_20,0.02356427949751609
realized_vol_10,0.0222794950509163
atr_pct_14,0.02197239012087858
atr_pct_5,0.020717428214416102
ewma_vol_20,0.019992984571982807
atr_pct_10,0.01940103988985472
semi_vol_10,0.01896138325843374
keltner_width_20,0.018350359989285824
atr_pct_20,0.016565365568727963
true_range_pct,0.007037852064434172
