,importance
ma200_slope_60,0.05481491276314334
ma_gap_50_200,0.05192265144017126
ma_gap_60_120,0.049110281032635754
trend_slope_60,0.04485482912201362
return_120d,0.03917498664749372
ma_gap_20_60,0.03879332241939708
return_20d,0.0372648180637043
price_ma_200_gap,0.03675411464416631
price_ma_120_gap,0.03488941466905147
large_up_day_ratio_20,0.0327999398300779
trend_slope_20,0.031976314322246395
large_down_day_ratio_20,0.03185564647026781
return_60d,0.03175030222394973
price_ma_60_gap,0.030760230147048817
ma_gap_5_20,0.029578423305042272
drawdown_120,0.029458873433805634
drawdown_60,0.028741394412160542
price_ma_20_gap,0.02667234443784793
positive_return_ratio_60,0.02617001182980381
positive_return_ratio_20,0.026021707951763853
drawdown_20,0.025885555484112248
trend_slope_10,0.02457775101732021
price_position_60,0.021536110390332482
return_10d,0.021132307733447913
trend_consistency_60,0.017875361592612334
price_position_20,0.017754388302804843
large_down_day_ratio_10,0.017502134456114458
return_5d,0.015432355233127647
large_up_day_ratio_10,0.015235462253936958
price_position_10_minus_20,0.014553816400982056
drawdown_10,0.012852854344860784
trend_slope_5,0.01266021079001283
trend_consistency_20,0.011851008890921043
price_position_10,0.010171729236996422
close_to_60d_high,0.009836689956183175
close_to_20d_high,0.009213007145768238
price_position_5_minus_20,0.008348428691042789
positive_return_ratio_10,0.007392405187241069
drawdown_5,0.006388576420855922
close_to_10d_high,0.003727864729063142
bearish_ma_stack,0.0027074625730396265
