,importance
atr_ratio_20_60,0.04667481072344041
yang_zhang_vol_60,0.04245212470829886
ulcer_rank_252,0.03887312081439184
atr_rank_252,0.03867762962516512
ulcer_index_60,0.03713096688558821
parkinson_vol_60,0.03712402334083833
downside_vol_60,0.03645284268413744
realized_vol_20,0.03583701029509982
vol_of_vol_20,0.03472381010923859
realized_vol_60,0.03385038183397329
atr_pct_60,0.03350456518242099
bb_width_rank_252,0.03306212280100832
downside_vol_20,0.03283124195376519
ewma_vol_60,0.03272108258510892
bb_width_20,0.03257590642597134
atr_ratio_14_60,0.032003733646137886
yang_zhang_vol_20,0.03164881618015768
downside_vol_10,0.03093210289380439
semi_vol_10,0.03027263515292318
realized_vol_10,0.029732633644074205
atr_pct_14,0.029181158241362214
atr_pct_10,0.02865019167352113
ulcer_index_20,0.026391707594845524
parkinson_vol_20,0.02586295864810901
garman_klass_vol_20,0.025153212940439054
ewma_vol_20,0.024618017543241243
semi_vol_20,0.023480438598660783
rogers_satchell_vol_20,0.023192975425719475
realized_vol_ratio_10_20,0.023000085327877305
atr_pct_20,0.022101585998046045
atr_pct_5,0.020097707323166392
keltner_width_20,0.01997776781758552
true_range_pct,0.007210632075911567
