feature,stage1_importance,downrisk_importance,mean_importance,max_importance,importance_gap_stage1_minus_downrisk,is_low_importance_candidate,used_more_by,stage1_rank,downrisk_rank,mean_rank
drawdown_60,0.03040251378819997,0.022423177098689483,0.026412845443444726,0.03040251378819997,0.007979336689510487,False,stage1,3,15,1
ma_gap_60_120,0.01368882794659363,0.038857564512731396,0.026273196229662513,0.038857564512731396,-0.025168736566137766,False,downrisk,24,2,2
drawdown_120,0.03329194660378446,0.01898621439571288,0.02613908049974867,0.03329194660378446,0.014305732208071582,False,stage1,2,19,3
ma200_slope_60,0.010918336601221993,0.03958043838184691,0.02524938749153445,0.03958043838184691,-0.028662101780624918,False,downrisk,37,1,4
return_120d,0.012832220150726027,0.037328950242168965,0.025080585196447496,0.037328950242168965,-0.024496730091442938,False,downrisk,27,4,5
ma_gap_50_200,0.010569495419899579,0.03854727627247234,0.02455838584618596,0.03854727627247234,-0.027977780852572763,False,downrisk,42,3,6
price_ma_200_gap,0.016323395541052926,0.03126253550359682,0.02379296552232487,0.03126253550359682,-0.014939139962543892,False,downrisk,16,7,7
price_ma_120_gap,0.019581220568931988,0.02770083475582282,0.023641027662377405,0.02770083475582282,-0.008119614186890833,False,downrisk,12,9,8
trend_slope_60,0.010640897893782017,0.03449413767984286,0.022567517786812437,0.03449413767984286,-0.02385323978606084,False,downrisk,40,5,9
atr_pct_10,0.03982256634700452,0.004290759589726753,0.022056662968365635,0.03982256634700452,0.03553180675727777,False,stage1,1,68,10
ma_gap_20_60,0.01038763376521866,0.0316183882563439,0.02100301101078128,0.0316183882563439,-0.021230754491125242,False,downrisk,44,6,11
price_ma_60_gap,0.013859970805949869,0.023723771848641002,0.018791871327295435,0.023723771848641002,-0.009863801042691134,False,downrisk,22,13,12
positive_return_ratio_60,0.008955718265699235,0.028595739427346833,0.018775728846523034,0.028595739427346833,-0.0196400211616476,False,downrisk,55,8,13
return_60d,0.00847846633734575,0.027413979100628746,0.01794622271898725,0.027413979100628746,-0.018935512763282994,False,downrisk,58,10,14
trend_slope_20,0.009857180503338838,0.02586893617992993,0.017863058341634385,0.02586893617992993,-0.01601175567659109,False,downrisk,48,11,15
atr_pct_14,0.030205664789617812,0.003806380961922686,0.01700602287577025,0.030205664789617812,0.026399283827695127,False,stage1,4,71,16
rogers_satchell_vol_20,0.027149795980510552,0.005906082011134704,0.016527938995822628,0.027149795980510552,0.021243713969375848,False,stage1,5,60,17
close_to_60d_high,0.021675171521709426,0.011250873634220483,0.016463022577964954,0.021675171521709426,0.010424297887488942,False,stage1,9,30,18
price_position_60,0.015445680029982228,0.017313463517995033,0.016379571773988633,0.017313463517995033,-0.0018677834880128051,False,downrisk,17,21,19
drawdown_20,0.020463711711128117,0.011289795605489176,0.015876753658308648,0.020463711711128117,0.009173916105638941,False,stage1,10,29,20
atr_pct_5,0.02709594058288415,0.003701857261371652,0.015398898922127901,0.02709594058288415,0.023394083321512497,False,stage1,6,72,21
positive_return_ratio_20,0.0065006352785985655,0.023780808571018094,0.01514072192480833,0.023780808571018094,-0.01728017329241953,False,downrisk,68,12,22
