,importance
ma200_slope_60,0.04161183297901757
ma_gap_50_200,0.04013178362119968
ma_gap_60_120,0.037420323603272
trend_slope_60,0.034937168972696483
ma_gap_20_60,0.03336253619687418
price_ma_200_gap,0.03325250912985372
return_120d,0.03139161645032168
large_down_day_ratio_20,0.031103320630239344
drawdown_120,0.029196467181393383
trend_slope_20,0.02654850953380738
price_ma_60_gap,0.025861336565572386
price_ma_120_gap,0.02540405993511025
positive_return_ratio_60,0.024945656094251274
drawdown_60,0.02476123233318696
return_60d,0.024631549586720886
large_up_day_ratio_20,0.02240868800744765
return_20d,0.018699568018436925
trend_consistency_60,0.018061079754979913
price_position_60,0.017694366651888775
price_position_10_minus_20,0.016707998153062065
ma_gap_5_20,0.016636815257882357
positive_return_ratio_20,0.014573093438011837
close_to_60d_high,0.013146830328273696
trend_slope_10,0.01261088967687993
high_volume_down_ratio_20,0.011837922803818606
large_down_day_ratio_10,0.011150893401032203
large_up_day_ratio_10,0.010890610039630835
drawdown_20,0.01069800692136004
return_10d,0.010631603350943396
positive_return_ratio_10,0.010277336545510718
down_volume_ratio_20,0.010238572199663846
drawdown_10,0.010119407615495839
price_ma_20_gap,0.01001332169289847
ulcer_index_60,0.009911810480144632
vol_of_vol_20,0.009878941985936196
price_position_5_minus_20,0.009592966234114651
parkinson_vol_60,0.009533560693566237
parkinson_vol_20,0.009441945611086971
downside_vol_60,0.009028192551443567
yang_zhang_vol_60,0.008889840640621654
atr_pct_60,0.00887629450614009
trend_slope_5,0.008737301506977819
ewma_vol_60,0.008495005138273429
realized_vol_60,0.008151728532032105
ulcer_rank_252,0.007948015977684377
atr_rank_252,0.007880401119555519
return_5d,0.007839619999637844
realized_vol_20,0.0078307729753595
yang_zhang_vol_20,0.0076376659323102464
bb_width_rank_252,0.0076323375241239425
bb_width_20,0.007580780861556376
garman_klass_vol_20,0.007288090684757087
ulcer_index_20,0.007230979316377101
drawdown_5,0.007042728543966907
atr_ratio_20_60,0.006609681253243448
downside_vol_20,0.0064351692151260196
ewma_vol_20,0.006246237907158515
keltner_width_20,0.006168207295257554
realized_vol_ratio_10_20,0.0061110196988351075
realized_vol_10,0.005865390812982255
price_position_20,0.005703856545235392
rogers_satchell_vol_20,0.005354899068278728
atr_ratio_14_60,0.005219824125626757
trend_consistency_20,0.00499335030932308
atr_pct_20,0.004958973534160047
downside_vol_10,0.00485705747792655
atr_pct_14,0.004425658170993906
semi_vol_10,0.004407429845408075
semi_vol_20,0.004382962121525977
price_position_10,0.004312508104411802
volume_ratio_20,0.004174743591715081
volume_zscore_20,0.003883291618467651
volume_shock_rank_252,0.0037863676627730167
atr_pct_10,0.0034279301601149574
close_to_20d_high,0.0031633621887172487
atr_pct_5,0.003140459544651787
close_to_10d_high,0.0029797565237000153
true_range_pct,0.0013749577138589153
bearish_ma_stack,0.0006110195234348928
