,importance
ma200_slope_60,0.05132313615768143
ma_gap_50_200,0.05021498058479102
ma_gap_60_120,0.0444861022549467
price_ma_200_gap,0.04394280054192576
trend_slope_60,0.04255866597772443
ma_gap_20_60,0.041077822380300076
drawdown_120,0.03807811516189723
high_volume_down_ratio_20,0.036809281135598816
large_down_day_ratio_20,0.03488529381427234
return_120d,0.03421278815348781
price_ma_60_gap,0.03306142093950055
trend_slope_20,0.03155316750630773
positive_return_ratio_60,0.031150005071789826
down_volume_ratio_20,0.03107095782373411
large_up_day_ratio_20,0.03062758117991348
price_ma_120_gap,0.02894110005974422
return_60d,0.028517232928794645
drawdown_60,0.02838516083919251
price_position_60,0.026049547718786117
return_20d,0.022258578293119734
close_to_60d_high,0.01898036055481209
positive_return_ratio_20,0.018841843989710987
ma_gap_5_20,0.016482987879874324
trend_consistency_60,0.016274616442387924
price_position_10_minus_20,0.016188893982972432
return_10d,0.015529189361601196
trend_slope_10,0.014408200896252225
positive_return_ratio_10,0.014101447148450894
large_down_day_ratio_10,0.014030917570394989
price_ma_20_gap,0.013234484517693452
drawdown_20,0.012609607273054916
volume_ratio_20,0.01239924246848594
large_up_day_ratio_10,0.011960281228225324
trend_slope_5,0.011070923504626585
volume_shock_rank_252,0.010844979300311515
drawdown_10,0.010383790691747212
volume_zscore_20,0.010060151371391608
price_position_5_minus_20,0.0093272786395992
return_5d,0.008847409218315222
drawdown_5,0.008503601144646324
price_position_10,0.007490458057266854
price_position_20,0.007176096268166374
trend_consistency_20,0.0041372125726036124
close_to_20d_high,0.0036879417512820857
close_to_10d_high,0.003381095092100579
bearish_ma_stack,0.0008432514342342666
