,importance
ma_gap_50_200,0.06396371930734152
ma200_slope_60,0.060703157576628856
ma_gap_60_120,0.05671421088470471
trend_slope_60,0.04939575023493648
return_120d,0.04900987112307034
positive_return_ratio_60,0.04317769271114634
trend_consistency_60,0.04285982131795396
price_ma_200_gap,0.04115239437276845
ma_gap_20_60,0.0388716860038657
return_60d,0.03686560769780217
price_ma_120_gap,0.03563290794374466
price_ma_60_gap,0.0328197134353797
drawdown_120,0.032475404040370554
drawdown_60,0.029648521249039314
trend_slope_20,0.029513834391619885
ma_gap_5_20,0.026065211013441773
large_down_day_ratio_20,0.024684143089365937
positive_return_ratio_20,0.02447694150309655
return_20d,0.023604169648948185
price_position_60,0.023229572425840332
price_ma_20_gap,0.022065780268998685
trend_slope_10,0.02034193213434524
price_position_10_minus_20,0.0202478460534679
price_position_20,0.01835726350082185
return_10d,0.017311298742170616
large_up_day_ratio_20,0.015221607699502437
positive_return_ratio_10,0.014524613740933192
return_5d,0.01268483244533645
trend_slope_5,0.012213683452240989
drawdown_20,0.011555978599640112
drawdown_10,0.01122449506868771
price_position_5_minus_20,0.008875698065995016
close_to_60d_high,0.008690843944408236
price_position_10,0.008159592415719117
trend_consistency_20,0.007563675028486325
large_down_day_ratio_10,0.006608984871519848
large_up_day_ratio_10,0.005939676165802493
drawdown_5,0.004924060495608183
close_to_10d_high,0.0039006807954080165
close_to_20d_high,0.0036747732679248742
bearish_ma_stack,0.0010483543100279
