,importance
ma_gap_50_200,0.06115379036285929
ma200_slope_60,0.05642066212067942
ma_gap_60_120,0.05492848813689003
return_120d,0.04623155324028746
trend_slope_60,0.045729830024010015
positive_return_ratio_60,0.04209808296328115
ma_gap_20_60,0.03671837276233996
price_ma_200_gap,0.036113395846711235
return_60d,0.03474604332690693
price_ma_120_gap,0.03377241212671386
down_volume_ratio_20,0.03142942702557082
price_ma_60_gap,0.029371821152467635
drawdown_120,0.029014491360627174
trend_slope_20,0.02809709085090978
high_volume_down_ratio_20,0.027328036968514973
drawdown_60,0.027090677160895357
large_down_day_ratio_20,0.02438437279742507
trend_consistency_60,0.023954543052356697
ma_gap_5_20,0.02318987715619779
return_20d,0.02206363350532705
price_ma_20_gap,0.020848410390225048
trend_slope_10,0.01932358064287756
price_position_60,0.019090122648603505
return_10d,0.01660324622103612
close_to_60d_high,0.016162103430057567
price_position_10_minus_20,0.015986342751790606
positive_return_ratio_20,0.015874238320051633
price_position_20,0.015800711238596936
large_up_day_ratio_20,0.014408268861780737
volume_shock_rank_252,0.012406806001395342
positive_return_ratio_10,0.012247481457528747
trend_slope_5,0.01206810834512922
volume_ratio_20,0.01190115023627951
volume_zscore_20,0.01101079435463203
return_5d,0.01065119461100761
drawdown_20,0.010490639299771627
drawdown_10,0.010138528843512292
price_position_5_minus_20,0.008190734580802243
price_position_10,0.007594741356389556
large_down_day_ratio_10,0.006123377095689879
large_up_day_ratio_10,0.005581800219102112
drawdown_5,0.00427607164070535
trend_consistency_20,0.0035675869282660267
close_to_10d_high,0.002631772697592775
close_to_20d_high,0.002184349713691821
bearish_ma_stack,0.0010012366424595554
