,importance
ma200_slope_60,0.03792959655381696
ma_gap_60_120,0.03565021168671152
ma_gap_50_200,0.03456658315007136
trend_slope_60,0.03287212978779524
ma_gap_20_60,0.03230326021872873
positive_return_ratio_60,0.03148053944152139
drawdown_60,0.030918643353129844
return_120d,0.029432854715064766
large_down_day_ratio_20,0.02916436174355129
price_ma_200_gap,0.028949210818407463
drawdown_120,0.02847607273855752
trend_consistency_60,0.026753665882082833
price_ma_120_gap,0.024923429917985563
trend_slope_20,0.024379365062287713
ma_gap_5_20,0.024101007299370838
return_60d,0.022583303689095023
price_ma_60_gap,0.02019843217227483
price_position_60,0.019737318024218204
close_to_60d_high,0.019727248854014216
return_20d,0.018609076059755796
large_up_day_ratio_20,0.018582662744069806
drawdown_20,0.018088099231426992
positive_return_ratio_20,0.018046387684070776
price_ma_20_gap,0.016534685087458575
return_10d,0.014837584547654999
trend_slope_10,0.013571670950989722
drawdown_10,0.012170448126099156
price_position_20,0.010867921856745129
ulcer_index_60,0.010332965989893262
downside_vol_60,0.010173110298342622
parkinson_vol_60,0.010097780698571377
yang_zhang_vol_60,0.00987888366391314
down_volume_ratio_20,0.00946766674197442
realized_vol_60,0.00941580111734533
price_position_10_minus_20,0.009277315673349974
atr_ratio_20_60,0.009007220075184865
atr_rank_252,0.008701562827650739
parkinson_vol_20,0.008531082994121865
return_5d,0.008265921350631823
downside_vol_20,0.008219073484163088
large_down_day_ratio_10,0.008146529613139528
vol_of_vol_20,0.00802162260967315
atr_pct_60,0.007913318153448068
ulcer_index_20,0.0077307827642796876
ewma_vol_60,0.0076337688915565785
trend_consistency_20,0.007554073116353613
ulcer_rank_252,0.007552136649415423
positive_return_ratio_10,0.007285902230951909
large_up_day_ratio_10,0.00687496109394632
trend_slope_5,0.006670288155792599
bb_width_20,0.0066669245073795605
yang_zhang_vol_20,0.006488787344518501
atr_ratio_14_60,0.00643949907708739
rogers_satchell_vol_20,0.006167637779883459
price_position_5_minus_20,0.005951206331048694
realized_vol_ratio_10_20,0.005858726636199282
high_volume_down_ratio_20,0.005846960352664129
bb_width_rank_252,0.0058162003462529305
garman_klass_vol_20,0.005616265323656329
semi_vol_20,0.005512479351561622
ewma_vol_20,0.005480076322125475
realized_vol_20,0.005366287592714702
price_position_10,0.005207373096988594
realized_vol_10,0.005203599546148711
atr_pct_10,0.005183313790822937
semi_vol_10,0.005155480222929392
atr_pct_14,0.005068797593474051
close_to_20d_high,0.004978512161823213
drawdown_5,0.0049634836366438985
downside_vol_10,0.004836861803044781
close_to_10d_high,0.004391761507833677
keltner_width_20,0.004369621788965212
atr_pct_20,0.004134677515924007
atr_pct_5,0.003935916090531737
volume_ratio_20,0.0027344621972761594
volume_shock_rank_252,0.0022456920682637407
volume_zscore_20,0.0021593977236710198
true_range_pct,0.001711959651142284
bearish_ma_stack,0.0003004982607394812
