,importance
ulcer_index_60,0.046498346954519675
downside_vol_60,0.045778996342541796
parkinson_vol_60,0.04544001314357119
yang_zhang_vol_60,0.04445497648760913
realized_vol_60,0.04237110502805398
atr_ratio_20_60,0.04053249033833189
atr_rank_252,0.039157032724428324
parkinson_vol_20,0.03838987347354839
downside_vol_20,0.03698583067873389
vol_of_vol_20,0.036097301743529174
atr_pct_60,0.0356099316905163
ulcer_index_20,0.03478852243925859
ewma_vol_60,0.0343519600120046
ulcer_rank_252,0.0339846149223694
bb_width_20,0.03000116028320802
yang_zhang_vol_20,0.029199543050333253
atr_ratio_14_60,0.028977745846893253
rogers_satchell_vol_20,0.027754370009475563
realized_vol_ratio_10_20,0.026364269862896767
bb_width_rank_252,0.026172901558138187
garman_klass_vol_20,0.02527319395645348
semi_vol_20,0.024806157082027297
ewma_vol_20,0.024660343449564637
realized_vol_20,0.02414829416721616
realized_vol_10,0.023416197957669197
atr_pct_10,0.023324912058703216
semi_vol_10,0.02319966100318226
atr_pct_14,0.022809589170633228
downside_vol_10,0.021765878113701516
keltner_width_20,0.019663298050343454
atr_pct_20,0.018606048821658033
atr_pct_5,0.017711622407392814
true_range_pct,0.007703818430140278
