model,prob_col,actual_col,positive_value,threshold,precision,recall,f1,pred_positive_ratio,support_positive,support_negative
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.1,0.430145963658028,1.0,0.6015413455530098,1.0,1444,1913
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.15,0.430145963658028,1.0,0.6015413455530098,1.0,1444,1913
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.2,0.4287856071964018,0.9903047091412742,0.5984515589035363,0.9934465296395592,1444,1913
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.25,0.43508114856429464,0.9653739612188366,0.5998278829604131,0.9544235924932976,1444,1913
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.3,0.4586864406779661,0.899584487534626,0.607577174929841,0.8436103663985701,1444,1913
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.35,0.4738095238095238,0.8268698060941828,0.6024217961654894,0.7506702412868632,1444,1913
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.4,0.5177472787505916,0.7576177285318559,0.6151251054259207,0.6294310396187072,1444,1913
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.45,0.5459641255605381,0.6745152354570637,0.6034696406443618,0.5314268692284778,1444,1913
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.5,0.5724185724185724,0.5720221606648199,0.5722202978870801,0.4298480786416443,1444,1913
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.55,0.6155172413793103,0.49445983379501385,0.5483870967741935,0.34554661900506406,1444,1913
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.6,0.6608315098468271,0.4182825484764543,0.5122985581000848,0.27226690497467976,1444,1913
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.65,0.6849507735583685,0.33725761772853186,0.4519721577726218,0.21179624664879357,1444,1913
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.7,0.6915077989601387,0.27631578947368424,0.39485403265710045,0.171879654453381,1444,1913
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.75,0.6883116883116883,0.1835180055401662,0.2897758337889557,0.11468573130771523,1444,1913
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.8,0.7228915662650602,0.08310249307479224,0.14906832298136646,0.0494489127196902,1444,1913
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.85,0.75,0.031163434903047092,0.0598404255319149,0.017873100983020553,1444,1913
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.9,0.7884615384615384,0.028393351800554016,0.05481283422459893,0.015490020851951147,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.1,0.430145963658028,1.0,0.6015413455530098,1.0,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.15,0.430145963658028,1.0,0.6015413455530098,1.0,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.2,0.4287856071964018,0.9903047091412742,0.5984515589035363,0.9934465296395592,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.25,0.43508114856429464,0.9653739612188366,0.5998278829604131,0.9544235924932976,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.3,0.4586864406779661,0.899584487534626,0.607577174929841,0.8436103663985701,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.35,0.4738095238095238,0.8268698060941828,0.6024217961654894,0.7506702412868632,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.4,0.5177472787505916,0.7576177285318559,0.6151251054259207,0.6294310396187072,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.45,0.5459641255605381,0.6745152354570637,0.6034696406443618,0.5314268692284778,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.5,0.5724185724185724,0.5720221606648199,0.5722202978870801,0.4298480786416443,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.55,0.6155172413793103,0.49445983379501385,0.5483870967741935,0.34554661900506406,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.6,0.6608315098468271,0.4182825484764543,0.5122985581000848,0.27226690497467976,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.65,0.6849507735583685,0.33725761772853186,0.4519721577726218,0.21179624664879357,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.7,0.6915077989601387,0.27631578947368424,0.39485403265710045,0.171879654453381,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.75,0.6883116883116883,0.1835180055401662,0.2897758337889557,0.11468573130771523,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.8,0.7228915662650602,0.08310249307479224,0.14906832298136646,0.0494489127196902,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.85,0.75,0.031163434903047092,0.0598404255319149,0.017873100983020553,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.9,0.7884615384615384,0.028393351800554016,0.05481283422459893,0.015490020851951147,1444,1913
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.1,0.22815694032311243,0.9637883008356546,0.3689682751266329,0.903485254691689,718,2639
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.15,0.2490721649484536,0.841225626740947,0.38434616608335986,0.7223711647304141,718,2639
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.2,0.2729857819905213,0.8022284122562674,0.4073550212164074,0.6285373845695561,718,2639
