,importance
atr_ratio_20_60,0.045635012904226425
realized_vol_20,0.042100646443104205
ulcer_rank_252,0.04036192944188351
yang_zhang_vol_60,0.04033602449704804
ulcer_index_60,0.03945091017565227
atr_pct_60,0.038567680086741586
atr_rank_252,0.03815548323484744
atr_ratio_14_60,0.03533001856351528
vol_of_vol_20,0.03456310102173741
bb_width_20,0.0342607853757698
downside_vol_60,0.034226839053204346
downside_vol_20,0.03389724976838648
realized_vol_60,0.03388357871038366
parkinson_vol_60,0.033476316575644656
bb_width_rank_252,0.03180236585016939
ewma_vol_60,0.031717111966235466
yang_zhang_vol_20,0.0311813655592102
atr_pct_14,0.031177284554042485
parkinson_vol_20,0.03016286979208604
ulcer_index_20,0.029197262812568438
downside_vol_10,0.026709582717139423
ewma_vol_20,0.026702621023841425
garman_klass_vol_20,0.02564851720694966
semi_vol_10,0.025280338727844492
rogers_satchell_vol_20,0.024945000448497012
atr_pct_10,0.02480482809808145
realized_vol_10,0.02438522726307051
realized_vol_ratio_10_20,0.02373096622521564
semi_vol_20,0.023538556793590987
keltner_width_20,0.02294499229636073
atr_pct_20,0.02007170648109408
atr_pct_5,0.014788627827661075
true_range_pct,0.006965199606860378
