model,prob_col,actual_col,positive_value,threshold,precision,recall,f1,pred_positive_ratio,support_positive,support_negative
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.1,0.4686631676443347,0.9844357976653697,0.6350135954821167,0.9648495680667263,1542,1815
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.15,0.49221789883268485,0.9844357976653697,0.6562905317769131,0.9186773905272565,1542,1815
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.2,0.5050369375419744,0.9753566796368353,0.6654867256637168,0.8871015787905868,1542,1815
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.25,0.5144366197183099,0.9474708171206225,0.6668188041989959,0.8459934465296396,1542,1815
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.3,0.521412471825695,0.9001297016861219,0.6603235014272122,0.7929699136133452,1542,1815
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.35,0.5420133111480865,0.8450064850843061,0.6604156107450583,0.7161155793863568,1542,1815
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.4,0.5511443250817375,0.7652399481193255,0.6407819712191148,0.6377718200774501,1542,1815
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.45,0.5663571818678318,0.6725032425421531,0.614882893566558,0.5454274649985106,1542,1815
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.5,0.5908221797323135,0.6011673151750972,0.5959498553519769,0.4673815907059875,1542,1815
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.55,0.6213292117465224,0.5214007782101168,0.5669957686882934,0.3854632112004766,1542,1815
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.6,0.6511156186612576,0.4163424124513619,0.5079113924050633,0.29371462615430444,1542,1815
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.65,0.6765899864682002,0.324254215304799,0.4384042086804033,0.2201370271075365,1542,1815
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.7,0.6634050880626223,0.2198443579766537,0.3302484169508037,0.1522192433720584,1542,1815
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.75,0.6666666666666666,0.12840466926070038,0.21533442088091354,0.08847184986595175,1542,1815
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.8,0.7412587412587412,0.06874189364461739,0.1258160237388724,0.042597557342865654,1542,1815
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.85,0.8333333333333334,0.0324254215304799,0.062421972534332085,0.017873100983020553,1542,1815
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.9,1.0,0.007133592736705577,0.014166130070830651,0.0032767351802204347,1542,1815
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.1,0.4686631676443347,0.9844357976653697,0.6350135954821167,0.9648495680667263,1542,1815
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.15,0.49221789883268485,0.9844357976653697,0.6562905317769131,0.9186773905272565,1542,1815
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.2,0.5050369375419744,0.9753566796368353,0.6654867256637168,0.8871015787905868,1542,1815
