,importance
ma_gap_60_120,0.05219662326964594
ma200_slope_60,0.05075146577557519
ma_gap_50_200,0.04957354336141771
return_120d,0.045882371755035976
trend_slope_60,0.04434263688236815
ma_gap_20_60,0.038862851532434836
price_ma_200_gap,0.03863982914619902
down_volume_ratio_20,0.037910969245583855
price_ma_120_gap,0.03758645044142632
positive_return_ratio_60,0.03708656581043864
return_60d,0.034600843763208045
trend_slope_20,0.032635567755278316
large_down_day_ratio_20,0.028191473687969384
drawdown_60,0.027584326957973342
positive_return_ratio_20,0.027159012741379676
price_ma_60_gap,0.025950703638493052
drawdown_120,0.02402775829712424
high_volume_down_ratio_20,0.022976837574369424
ma_gap_5_20,0.022701181100620443
return_20d,0.021161950512217278
large_up_day_ratio_20,0.020093517141215253
price_position_60,0.019699894853161707
trend_consistency_60,0.01956818218570247
trend_slope_10,0.017968878492533733
close_to_60d_high,0.016807705092812993
positive_return_ratio_10,0.015575835470660842
price_ma_20_gap,0.015099930166985676
price_position_10_minus_20,0.014992358360200703
return_10d,0.014734816756153743
drawdown_10,0.014532121223358748
large_down_day_ratio_10,0.013353904333179964
return_5d,0.013351690007968701
large_up_day_ratio_10,0.012637639710206598
volume_ratio_20,0.012094364028136682
drawdown_20,0.011511250214671092
price_position_10,0.011203621112462503
volume_shock_rank_252,0.009250317899776357
trend_slope_5,0.008651246979651559
volume_zscore_20,0.007752431462875624
price_position_20,0.007478680837049892
drawdown_5,0.005716616368902448
price_position_5_minus_20,0.005687982061534144
trend_consistency_20,0.004598315054040757
close_to_10d_high,0.003997667011664441
close_to_20d_high,0.002386802068305394
bearish_ma_stack,0.0014312655132796084
