start_date,trough_date,recovery_date,depth,duration_days,days_to_trough,avg_stock_weight,avg_prob_high_vol,avg_prob_down_risk,trough_regime
2021-12-22,2022-10-12,2023-12-07,-0.35608796612785576,492,202,0.6911156186612577,0.603592061056572,0.49196490173063445,CUSTOM
2024-07-08,2025-04-04,2025-09-12,-0.30559659679094764,297,187,0.7597986577181208,0.5909190257504465,0.47964875550098773,RISK_OFF
2020-02-14,2020-03-12,2020-06-03,-0.25832669483066006,75,18,0.7113157894736841,0.7083205220878706,0.4166384246848878,CUSTOM
2015-05-28,2016-01-13,2016-08-25,-0.2028466687642122,315,159,0.6822784810126582,0.5676297239325168,0.519954139895624,WATCH
2018-01-19,2018-12-20,2019-04-15,-0.1954477706875406,310,232,0.7055305466237942,0.6076819972133036,0.4649762402088138,RISK_OFF
2014-09-16,2014-10-09,2014-11-20,-0.16453440129193775,47,17,0.9625,0.4523040991686429,0.38916378079756475,NORMAL
2024-03-05,2024-04-17,2024-05-22,-0.134218924305339,55,30,0.7742857142857144,0.38506599612882486,0.492599674650532,NORMAL
2021-02-11,2021-05-10,2021-06-24,-0.1107891168958226,92,60,0.6761290322580645,0.6384870706318633,0.40568467423250004,WATCH
2019-04-22,2019-05-23,2019-07-18,-0.10893883363449652,61,23,0.6900000000000001,0.6262285240307877,0.5129790688047939,RISK_OFF
2025-10-27,2025-11-18,2026-01-02,-0.09565367733924046,46,16,0.655744680851064,0.5192702929040083,0.4898207792947521,WATCH
