,importance
ma_gap_50_200,0.06615796274623818
ma200_slope_60,0.05950859573666036
ma_gap_60_120,0.05872413362487264
return_120d,0.0495852828056784
trend_slope_60,0.047448724954544254
positive_return_ratio_60,0.044452417567963635
trend_consistency_60,0.042842901673995785
price_ma_200_gap,0.04138314352201719
ma_gap_20_60,0.03926443037233271
return_60d,0.03713526336997304
price_ma_120_gap,0.03266358747385398
price_ma_60_gap,0.03202906084045516
trend_slope_20,0.0301640791402579
ma_gap_5_20,0.02813035243013026
large_down_day_ratio_20,0.027623759708293373
drawdown_120,0.027220575971157467
drawdown_60,0.026755504439250448
return_20d,0.026217552089379058
price_ma_20_gap,0.025876137977089486
positive_return_ratio_20,0.025110909778122154
price_position_60,0.0233055881528546
trend_slope_10,0.020856623308357067
price_position_10_minus_20,0.01902497956325533
price_position_20,0.018533011375684364
return_10d,0.01569228137954529
positive_return_ratio_10,0.014886062441898199
return_5d,0.013860196532544843
drawdown_20,0.012522059920720205
trend_slope_5,0.012192763605814854
drawdown_10,0.011436428210424584
large_up_day_ratio_20,0.01137443451952571
trend_consistency_20,0.009665463742474832
price_position_10,0.009314603527927252
price_position_5_minus_20,0.0076528302117136295
close_to_60d_high,0.007368228495420587
large_down_day_ratio_10,0.005829460785857269
drawdown_5,0.005581206503963571
close_to_10d_high,0.004510051805280252
large_up_day_ratio_10,0.0031724938474196407
close_to_20d_high,0.0031590190455539242
bearish_ma_stack,0.0017678370802766746
