start_date,trough_date,recovery_date,depth,duration_days,days_to_trough,avg_stock_weight,avg_prob_high_vol,avg_prob_down_risk,trough_regime
2021-12-22,2022-10-12,2024-01-25,-0.20644168035813826,524,202,0.6653333333333333,0.5593806445182004,0.4854579522707471,EXTREME_RISK
2020-02-14,2020-03-19,2020-06-03,-0.1390957309848483,75,23,0.4273684210526316,0.8107557130439347,0.43004347541469096,EXTREME_RISK
2015-07-16,2015-08-21,2016-08-11,-0.11910240486150148,271,26,0.7377205882352941,0.5682515668748973,0.48899665914069734,NORMAL
2025-02-14,2025-04-04,2025-08-11,-0.11502390771408799,121,34,0.6147540983606558,0.6157827491151885,0.4563474820146848,EXTREME_RISK
2018-01-24,2018-12-20,2019-02-15,-0.09818921144393244,267,229,0.6643283582089553,0.6059904867687103,0.4512580051914374,EXTREME_RISK
2026-01-23,2026-03-25,2026-04-20,-0.07378019451462514,59,42,0.8563333333333333,0.6018377574521501,0.5902874587002744,RISK_OFF
2014-09-16,2014-10-14,2014-11-06,-0.0721366043861622,37,20,0.9473684210526315,0.4934457377407917,0.304163275950063,WATCH
2020-06-04,2020-06-09,2020-07-30,-0.06760963981713786,39,3,0.7394999999999999,0.6894032798746128,0.3126020756835787,NORMAL
2024-07-12,2024-08-05,2024-09-17,-0.06603048591853533,46,16,0.8038297872340425,0.4390793190550301,0.4368405161698007,NORMAL
2020-08-31,2020-09-21,2020-12-04,-0.05268246190943182,67,14,0.4461764705882353,0.7773665988077589,0.7036704033879325,RISK_OFF
