,importance
ulcer_index_60,0.0465194143415006
downside_vol_60,0.04578496303246726
parkinson_vol_60,0.04549927013431443
yang_zhang_vol_60,0.04440104319447918
realized_vol_60,0.04238207709914561
atr_ratio_20_60,0.0404586276726193
atr_rank_252,0.03919314112066613
parkinson_vol_20,0.03843540889428123
downside_vol_20,0.03699068120442375
vol_of_vol_20,0.036105711368330205
atr_pct_60,0.03560640356388629
ulcer_index_20,0.0347844712881534
ewma_vol_60,0.03441354009913676
ulcer_rank_252,0.034019838397701584
bb_width_20,0.029955509722640272
yang_zhang_vol_20,0.029223479736838417
atr_ratio_14_60,0.02900552994336948
rogers_satchell_vol_20,0.027746087852060484
realized_vol_ratio_10_20,0.02631216585736443
bb_width_rank_252,0.026092442943846682
garman_klass_vol_20,0.025269393642947616
semi_vol_20,0.02478423931114819
ewma_vol_20,0.024658109774001843
realized_vol_20,0.02416833049048566
realized_vol_10,0.023440202822957727
atr_pct_10,0.02333875883246831
semi_vol_10,0.02316186512989733
atr_pct_14,0.022796142406381448
downside_vol_10,0.021768681864470084
keltner_width_20,0.019676124158318018
atr_pct_20,0.01857553723245459
atr_pct_5,0.017723215867785518
true_range_pct,0.007709593474864671
