feature,stage1_importance,downrisk_importance,mean_importance,max_importance,importance_gap_stage1_minus_downrisk,is_low_importance_candidate,used_more_by,stage1_rank,downrisk_rank,mean_rank
ma200_slope_60,0.014778550372399862,0.037927946880951725,0.026353248626675794,0.037927946880951725,-0.023149396508551863,False,downrisk,21,1,1
ma_gap_60_120,0.016071646256947018,0.035651794862405786,0.0258617205596764,0.035651794862405786,-0.01958014860545877,False,downrisk,14,2,2
ma_gap_50_200,0.014975638630973648,0.03456971128479409,0.024772674957883867,0.03456971128479409,-0.01959407265382044,False,downrisk,19,3,3
trend_slope_60,0.014355289203757863,0.03285809230879426,0.023606690756276062,0.03285809230879426,-0.018502803105036394,False,downrisk,23,4,4
ma_gap_20_60,0.014339068962149286,0.032316652857042,0.023327860909595644,0.032316652857042,-0.017977583894892714,False,downrisk,24,5,5
price_ma_200_gap,0.01753054273545526,0.028953887758791895,0.023242215247123575,0.028953887758791895,-0.011423345023336636,False,downrisk,8,10,6
drawdown_60,0.015197916703953755,0.030913446239111058,0.023055681471532405,0.030913446239111058,-0.015715529535157303,False,downrisk,18,7,7
return_120d,0.014929346837027605,0.029430667764341542,0.022180007300684573,0.029430667764341542,-0.014501320927313937,False,downrisk,20,8,8
positive_return_ratio_60,0.011023765068005429,0.031480532077585006,0.02125214857279522,0.031480532077585006,-0.020456767009579577,False,downrisk,48,6,9
price_ma_120_gap,0.016449235188095674,0.024919072646888737,0.020684153917492204,0.024919072646888737,-0.008469837458793063,False,downrisk,13,13,10
drawdown_120,0.012192468867887949,0.028482286860728824,0.020337377864308386,0.028482286860728824,-0.016289817992840877,False,downrisk,43,11,11
large_down_day_ratio_20,0.01125243177594957,0.029162223983331827,0.020207327879640698,0.029162223983331827,-0.017909792207382258,False,downrisk,47,9,12
trend_slope_20,0.012175095759385074,0.024375507554981357,0.018275301657183215,0.024375507554981357,-0.012200411795596283,False,downrisk,44,14,13
atr_pct_20,0.032051257423258254,0.004127897162767687,0.01808957729301297,0.032051257423258254,0.027923360260490568,False,stage1,1,73,14
ma_gap_5_20,0.012000197687730035,0.02411261374188129,0.018056405714805664,0.02411261374188129,-0.012112416054151256,False,downrisk,45,15,15
return_60d,0.012686231375266203,0.02256452263764469,0.017625377006455445,0.02256452263764469,-0.009878291262378488,False,downrisk,37,16,16
trend_consistency_60,0.008209535482819774,0.026761662158987523,0.01748559882090365,0.026761662158987523,-0.01855212667616775,False,downrisk,65,12,17
parkinson_vol_20,0.024144040468277197,0.008541201976506941,0.016342621222392068,0.024144040468277197,0.015602838491770256,False,stage1,3,38,18
return_20d,0.013647611381736443,0.01860549129116882,0.016126551336452633,0.01860549129116882,-0.004957879909432377,False,downrisk,27,20,19
price_ma_60_gap,0.011498594758103579,0.02019413874379219,0.015846366750947884,0.02019413874379219,-0.008695543985688612,False,downrisk,46,17,20
semi_vol_20,0.02615866960545573,0.005507608735810709,0.01583313917063322,0.02615866960545573,0.02065106086964502,False,stage1,2,60,21
close_to_60d_high,0.010865871191194783,0.019715975309226592,0.015290923250210687,0.019715975309226592,-0.00885010411803181,False,downrisk,49,19,22
drawdown_20,0.012363509294924966,0.01808854080726708,0.015226025051096024,0.01808854080726708,-0.005725031512342113,False,downrisk,41,22,23
atr_rank_252,0.021709931648238413,0.008709586915703586,0.015209759281970998,0.021709931648238413,0.013000344732534827,False,stage1,4,37,24
price_ma_20_gap,0.012400406524575951,0.016536332784959064,0.014468369654767508,0.016536332784959064,-0.0041359262603831125,False,downrisk,39,24,25
price_position_60,0.008422280878250372,0.019737506271489322,0.014079893574869847,0.019737506271489322,-0.01131522539323895,False,downrisk,63,18,26
parkinson_vol_60,0.017846172613586994,0.01011094891873654,0.013978560766161767,0.017846172613586994,0.007735223694850454,False,stage1,7,31,27
large_up_day_ratio_20,0.008864357052025587,0.018583660016026897,0.013724008534026243,0.018583660016026897,-0.00971930296400131,False,downrisk,60,21,28
positive_return_ratio_20,0.008691384051907955,0.01806313062599586,0.013377257338951908,0.01806313062599586,-0.009371746574087904,False,downrisk,62,23,29
ewma_vol_60,0.018376510369264343,0.007647453355363725,0.013011981862314035,0.018376510369264343,0.010729057013900619,False,stage1,5,45,30
downside_vol_20,0.0174838718730681,0.008220151378760835,0.012852011625914466,0.0174838718730681,0.009263720494307263,False,stage1,9,40,31
ulcer_index_60,0.01400617124038815,0.010337647631444579,0.012171909435916364,0.01400617124038815,0.003668523608943571,False,stage1,25,29,32
return_10d,0.009223162670697628,0.014830210413324727,0.012026686542011177,0.014830210413324727,-0.005607047742627099,False,downrisk,58,25,33
downside_vol_60,0.013603328077431162,0.010174436229437171,0.011888882153434166,0.013603328077431162,0.003428891847993991,False,stage1,28,30,34
trend_slope_10,0.009886622211012316,0.013571743561299658,0.011729182886155987,0.013571743561299658,-0.003685121350287342,False,downrisk,55,26,35
rogers_satchell_vol_20,0.017176006957592947,0.006165797300457886,0.011670902129025416,0.017176006957592947,0.011010209657135062,False,stage1,10,54,36
atr_pct_14,0.018234285006266355,0.005065809423640322,0.011650047214953338,0.018234285006266355,0.013168475582626033,False,stage1,6,67,37
realized_vol_60,0.013771740980109104,0.009418239355365692,0.011594990167737398,0.013771740980109104,0.0043535016247434125,False,stage1,26,34,38
garman_klass_vol_20,0.017149041690226158,0.005615420809543915,0.011382231249885036,0.017149041690226158,0.011533620880682244,False,stage1,12,59,39
yang_zhang_vol_60,0.012384310152940867,0.00986689848766204,0.011125604320301453,0.012384310152940867,0.0025174116652788275,False,stage1,40,32,40
yang_zhang_vol_20,0.015603184305204888,0.006494106608186315,0.0110486454566956,0.015603184305204888,0.009109077697018573,False,stage1,16,52,41
atr_ratio_20_60,0.012841974311283724,0.008990806149470955,0.01091639023037734,0.012841974311283724,0.0038511681618127683,False,stage1,36,36,42
price_position_20,0.010818481013721173,0.010866962151827607,0.01084272158277439,0.010866962151827607,-4.84811381064338e-05,False,downrisk,50,28,43
keltner_width_20,0.017162404593551717,0.0043724720351817825,0.01076743831436675,0.017162404593551717,0.012789932558369934,False,stage1,11,72,44
vol_of_vol_20,0.013443325786572551,0.00802349141518449,0.01073340860087852,0.013443325786572551,0.005419834371388061,False,stage1,30,42,45
realized_vol_20,0.015905097513481566,0.005370740108996814,0.01063791881123919,0.015905097513481566,0.010534357404484752,False,stage1,15,62,46
ulcer_index_20,0.01352280647840835,0.007729882508478534,0.010626344493443442,0.01352280647840835,0.0057929239699298155,False,stage1,29,44,47
atr_pct_60,0.013261939823663967,0.007912534125308065,0.010587236974486016,0.013261939823663967,0.005349405698355902,False,stage1,33,43,48
drawdown_10,0.008747128173877534,0.012158900795470214,0.010453014484673874,0.012158900795470214,-0.0034117726215926805,False,downrisk,61,27,49
atr_pct_10,0.015470605013448106,0.005186390851659625,0.010328497932553865,0.015470605013448106,0.010284214161788482,False,stage1,17,65,50
ulcer_rank_252,0.012921968681771505,0.00755996408837813,0.010240966385074816,0.012921968681771505,0.0053620045933933744,False,stage1,35,46,51
down_volume_ratio_20,0.010511232901239603,0.009471226390824615,0.009991229646032109,0.010511232901239603,0.0010400065104149876,False,stage1,52,33,52
bb_width_20,0.013160575168310769,0.006656779938364506,0.009908677553337637,0.013160575168310769,0.006503795229946263,False,stage1,34,51,53
semi_vol_10,0.014655307756454152,0.005147081139977185,0.009901194448215668,0.014655307756454152,0.009508226616476968,False,stage1,22,66,54
bb_width_rank_252,0.013316508969717053,0.005798320654188152,0.009557414811952603,0.013316508969717053,0.007518188315528901,False,stage1,32,58,55
atr_ratio_14_60,0.012284401815382548,0.006445673320748774,0.00936503756806566,0.012284401815382548,0.0058387284946337745,False,stage1,42,53,56
downside_vol_10,0.013441429980264815,0.00483748485877113,0.009139457419517973,0.013441429980264815,0.008603945121493685,False,stage1,31,70,57
return_5d,0.009034169625422129,0.008262620243323998,0.008648394934373064,0.009034169625422129,0.0007715493820981308,False,stage1,59,39,58
price_position_10_minus_20,0.007340490981812128,0.009275542667382595,0.00830801682459736,0.009275542667382595,-0.0019350516855704668,False,downrisk,68,35,59
atr_pct_5,0.012571862626905675,0.003938492415063449,0.008255177520984562,0.012571862626905675,0.008633370211842226,False,stage1,38,74,60
realized_vol_ratio_10_20,0.010090553409677268,0.005847147968303207,0.007968850688990238,0.010090553409677268,0.004243405441374061,False,stage1,53,56,61
realized_vol_10,0.010604510053564723,0.005208933960657273,0.007906722007110997,0.010604510053564723,0.00539557609290745,False,stage1,51,63,62
high_volume_down_ratio_20,0.009588561047787643,0.005846809140864202,0.007717685094325922,0.009588561047787643,0.0037417519069234406,False,stage1,57,57,63
ewma_vol_20,0.009937239287677268,0.005479579949778188,0.007708409618727728,0.009937239287677268,0.00445765933789908,False,stage1,54,61,64
trend_consistency_20,0.006011645631674799,0.007554108264746812,0.006782876948210805,0.007554108264746812,-0.0015424626330720129,False,downrisk,75,47,65
trend_slope_5,0.006617222366537409,0.006675337424713821,0.006646279895625615,0.006675337424713821,-5.811505817641255e-05,False,downrisk,73,50,66
close_to_20d_high,0.00826812813777776,0.004978259518605819,0.006623193828191789,0.00826812813777776,0.00328986861917194,False,stage1,64,68,67
price_position_10,0.007738951709244348,0.005206964176159571,0.0064729579427019596,0.007738951709244348,0.002531987533084777,False,stage1,67,64,68
drawdown_5,0.006968624641789546,0.004968768311615459,0.005968696476702503,0.006968624641789546,0.0019998563301740864,False,stage1,71,69,69
large_up_day_ratio_10,0.004967733066800903,0.006877943030119404,0.005922838048460153,0.006877943030119404,-0.0019102099633185009,False,downrisk,79,49,70
large_down_day_ratio_10,0.0034705817848474014,0.00814655744851521,0.005808569616681305,0.00814655744851521,-0.004675975663667809,False,downrisk,82,41,71
price_position_5_minus_20,0.005645965282397695,0.005943942003468885,0.00579495364293329,0.005943942003468885,-0.0002979767210711899,False,downrisk,76,55,72
positive_return_ratio_10,0.00411438020825107,0.0072849453959697805,0.005699662802110425,0.0072849453959697805,-0.0031705651877187106,False,downrisk,81,48,73
down_volume_ratio_10,0.009679701297673524,0.0,0.004839850648836762,0.009679701297673524,0.009679701297673524,False,stage1,56,80,74
volume_ratio_20,0.006717376998038176,0.0027538832338481725,0.0047356301159431746,0.006717376998038176,0.003963493764190003,False,stage1,72,75,75
volume_zscore_20,0.0072199674193995185,0.002159543790406484,0.004689755604903001,0.0072199674193995185,0.005060423628993034,False,stage1,70,77,76
close_to_10d_high,0.004748553385965467,0.004391885162669169,0.0045702192743173175,0.004748553385965467,0.0003566682232962982,False,stage1,80,71,77
volume_shock_rank_252,0.006250151456874341,0.0022457282839000482,0.004247939870387195,0.006250151456874341,0.004004423172974293,False,stage1,74,76,78
return_5d_minus_20d,0.00785844599736193,0.0,0.003929222998680965,0.00785844599736193,0.00785844599736193,False,stage1,66,80,79
return_10d_minus_20d,0.007237443976247873,0.0,0.0036187219881239365,0.007237443976247873,0.007237443976247873,False,stage1,69,80,80
true_range_pct,0.005167911362467936,0.0017132429944143714,0.0034405771784411536,0.005167911362467936,0.0034546683680535643,False,stage1,78,78,81
high_volume_down_ratio_10,0.00537755699816256,0.0,0.00268877849908128,0.00537755699816256,0.00537755699816256,False,stage1,77,80,82
bearish_ma_stack,0.001577799563367282,0.0003004982607394812,0.0009391489120533816,0.001577799563367282,0.0012773013026278009,False,stage1,83,79,83
