,importance
ma200_slope_60,0.04136173621674579
ma_gap_50_200,0.04059096330853189
ma_gap_60_120,0.03758339739730664
trend_slope_60,0.03424499956001914
return_120d,0.031194414178967806
ma_gap_20_60,0.030379721725755208
price_ma_200_gap,0.027909825568273622
price_ma_60_gap,0.027659936143666207
trend_slope_20,0.027617396133743654
large_down_day_ratio_20,0.02741992818259082
return_60d,0.026793429471485233
return_20d,0.026319417739760407
price_ma_120_gap,0.026155369185652116
positive_return_ratio_60,0.024123341929533696
large_up_day_ratio_20,0.022639211024800026
drawdown_60,0.021877731972260995
drawdown_120,0.02155639912368076
ma_gap_5_20,0.02116050405042199
trend_slope_10,0.019492160124213197
price_ma_20_gap,0.01761370315249204
drawdown_20,0.017286761490700447
trend_consistency_60,0.01613210516933941
positive_return_ratio_20,0.015898294324023284
price_position_60,0.013657865955441374
return_10d,0.01356834517618213
price_position_10_minus_20,0.012452989200220728
large_up_day_ratio_10,0.012026699862690934
return_5d,0.010826004320517228
high_volume_down_ratio_20,0.010486909316063652
trend_slope_5,0.010156488281100717
atr_ratio_20_60,0.010138232496852875
price_position_20,0.00987881037228741
large_down_day_ratio_10,0.009835396284605846
down_volume_ratio_20,0.009740103230729734
close_to_60d_high,0.009373422103627654
realized_vol_20,0.009361247170427642
ulcer_rank_252,0.008962565764655052
yang_zhang_vol_60,0.00895779528394358
ulcer_index_60,0.008761263723381025
atr_pct_60,0.008572318155923095
atr_rank_252,0.008506825741859255
drawdown_10,0.008062129431261271
atr_ratio_14_60,0.00784999807938846
vol_of_vol_20,0.007687365722719735
downside_vol_60,0.007613910251560684
bb_width_20,0.007602942628376154
downside_vol_20,0.007538102861057321
realized_vol_60,0.007525976147745758
parkinson_vol_60,0.007450861420553848
bb_width_rank_252,0.00706848895671651
ewma_vol_60,0.00704650495170449
atr_pct_14,0.006940635036735844
yang_zhang_vol_20,0.006935030866843013
parkinson_vol_20,0.006672186375855562
ulcer_index_20,0.006495403105350346
downside_vol_10,0.005939078119659807
ewma_vol_20,0.005926037838662925
trend_consistency_20,0.005915368021783773
garman_klass_vol_20,0.005728495495312361
semi_vol_10,0.005615064904906263
rogers_satchell_vol_20,0.005537416758134836
atr_pct_10,0.005518115576673815
positive_return_ratio_10,0.005461063013869712
realized_vol_10,0.005428040825012997
realized_vol_ratio_10_20,0.005276620095375822
price_position_5_minus_20,0.005246739030014767
semi_vol_20,0.005235273612007569
keltner_width_20,0.005089486568691489
price_position_10,0.0048840709703660695
atr_pct_20,0.0044124268148165455
drawdown_5,0.004404062196314314
close_to_20d_high,0.004198780269164927
volume_ratio_20,0.0034759971270831693
volume_zscore_20,0.0034616012793747585
atr_pct_5,0.003297806117079809
volume_shock_rank_252,0.0032620976405543464
bearish_ma_stack,0.0024332916442094607
close_to_10d_high,0.001958796356265093
true_range_pct,0.001530704859824752
