,importance
ma200_slope_60,0.054807345623091336
ma_gap_50_200,0.05291044902211676
ma_gap_60_120,0.04904358971139623
trend_slope_60,0.044879827928583374
return_120d,0.041280327828615786
ma_gap_20_60,0.039650637302122684
price_ma_200_gap,0.03758907050267601
price_ma_60_gap,0.03709344104520694
large_down_day_ratio_20,0.03639481775468402
trend_slope_20,0.03590531504535951
return_20d,0.03554583608211177
return_60d,0.034878567248510774
price_ma_120_gap,0.034720605378547514
positive_return_ratio_60,0.03138857812432218
drawdown_120,0.02985513353067088
large_up_day_ratio_20,0.02943470539500436
drawdown_60,0.029260179143637374
ma_gap_5_20,0.029043227785835925
trend_consistency_60,0.026356019918614672
trend_slope_10,0.02608509168278524
drawdown_20,0.02406318476855559
price_ma_20_gap,0.02379252037298145
positive_return_ratio_20,0.023328174879030224
price_position_60,0.01875414911011744
return_10d,0.017897523030313327
price_position_10_minus_20,0.016189088218934125
large_up_day_ratio_10,0.015835133410176255
return_5d,0.014960478933408879
large_down_day_ratio_10,0.01373170897048632
price_position_20,0.013655842341933518
trend_slope_5,0.013555827537655003
trend_consistency_20,0.010860811196373164
drawdown_10,0.010468966505002408
close_to_60d_high,0.008890507200414994
positive_return_ratio_10,0.007513987401450452
price_position_5_minus_20,0.0074102131624212714
price_position_10,0.006390902550063199
drawdown_5,0.006036760928552775
close_to_20d_high,0.00551864933749173
bearish_ma_stack,0.0029039322546431942
close_to_10d_high,0.0021188706907975885
