,importance
ewma_vol_60,0.027192810148126082
yang_zhang_vol_60,0.026571926241832976
atr_pct_20,0.023221007396228194
atr_pct_14,0.023165999280189725
parkinson_vol_20,0.021809560918665653
atr_pct_60,0.019960993113012852
semi_vol_20,0.019893759900797805
atr_pct_10,0.01982221278058927
realized_vol_60,0.01951456964386688
parkinson_vol_60,0.018969652251793638
garman_klass_vol_20,0.01857048617352308
keltner_width_20,0.017936133983658648
price_ma_200_gap,0.01668517089828605
rogers_satchell_vol_20,0.016249733434672217
downside_vol_20,0.016242018174284206
ma200_slope_60,0.015935513032008967
downside_vol_60,0.01582072099214808
atr_rank_252,0.01579210971755264
drawdown_120,0.01577400950492148
ma_gap_50_200,0.015447622209894546
semi_vol_10,0.015289372896707695
ulcer_index_60,0.015235464965949104
ulcer_index_20,0.015032522847644624
realized_vol_20,0.014571366865326011
downside_vol_10,0.014531662013305033
vol_of_vol_20,0.014357186025350414
yang_zhang_vol_20,0.01429838285259884
ma_gap_60_120,0.014117472062704138
bb_width_20,0.014011245064986204
bb_width_rank_252,0.014010481365807613
atr_ratio_20_60,0.013670331345363392
ma_gap_20_60,0.013647817540451855
drawdown_60,0.013506206340610203
ewma_vol_20,0.013149381741583518
atr_pct_5,0.013061559906562915
trend_slope_60,0.012978576463288009
price_ma_120_gap,0.012957708494165368
return_120d,0.012702520398537644
ulcer_rank_252,0.01230213040784408
price_ma_20_gap,0.012259613718722702
price_ma_60_gap,0.0122029420283994
atr_ratio_14_60,0.012079367032302321
down_volume_ratio_20,0.01201030811930578
positive_return_ratio_60,0.01176064458403354
realized_vol_10,0.011567652536050734
return_60d,0.011104339184063816
high_volume_down_ratio_20,0.011011104369471367
trend_slope_20,0.01086096349769962
return_20d,0.010443671028042445
price_position_60,0.009938137616570333
drawdown_20,0.009635487151330929
close_to_60d_high,0.009560780756492889
price_position_20,0.00949940280022727
large_up_day_ratio_20,0.009468780033842897
realized_vol_ratio_10_20,0.009379586652502193
ma_gap_5_20,0.008816449713459218
down_volume_ratio_10,0.00861444964695173
return_5d_minus_20d,0.008291790855432664
trend_consistency_60,0.008229621911018585
positive_return_ratio_20,0.00822580856682122
drawdown_10,0.008035094719576908
return_10d_minus_20d,0.008022000572155876
large_up_day_ratio_10,0.00751020458538112
true_range_pct,0.007390954023301833
large_down_day_ratio_20,0.007351679435321294
return_10d,0.007283649539333835
trend_slope_10,0.006851503967324571
price_position_10,0.006648914147573368
volume_ratio_20,0.006615405772252069
trend_slope_5,0.0065465959813998725
return_5d,0.006431698251328762
volume_shock_rank_252,0.006274909346786213
volume_zscore_20,0.006155753758923946
price_position_10_minus_20,0.006027006451086703
drawdown_5,0.005692105461864432
large_down_day_ratio_10,0.005547227299151321
close_to_20d_high,0.005481774846892164
trend_consistency_20,0.004670439383704751
high_volume_down_ratio_10,0.004569184918340946
positive_return_ratio_10,0.004525920736630233
price_position_5_minus_20,0.0044883616316967944
close_to_10d_high,0.004397774330769492
bearish_ma_stack,0.0005135373235495376
