,importance
ma200_slope_60,0.05009608266926888
ma_gap_50_200,0.04908059447512238
ma_gap_60_120,0.04427347234025272
trend_slope_60,0.03913073004260364
price_ma_200_gap,0.03859780348480738
ma_gap_20_60,0.037636100268361
return_120d,0.036753340965665376
large_down_day_ratio_20,0.035374339368741306
drawdown_120,0.03436964059466614
positive_return_ratio_60,0.033904420527202696
price_ma_120_gap,0.03316159338121199
high_volume_down_ratio_20,0.03295587214152976
trend_slope_20,0.03143470043632699
drawdown_60,0.031199661180532228
price_ma_60_gap,0.03035116188085152
down_volume_ratio_20,0.030184190811326964
return_60d,0.027994403037790484
large_up_day_ratio_20,0.027432254394437815
return_20d,0.02244691979689782
price_position_60,0.021672965974421313
ma_gap_5_20,0.021580907972487955
price_position_10_minus_20,0.021439801115313514
close_to_60d_high,0.02049058961491692
trend_consistency_60,0.019777481153603674
large_up_day_ratio_10,0.016056658341161285
positive_return_ratio_20,0.015600859006914857
trend_slope_10,0.015245757261355821
price_ma_20_gap,0.014305719065420802
drawdown_20,0.014009483248209728
volume_ratio_20,0.013428904053903857
drawdown_10,0.013371423425962262
return_10d,0.013294290181095545
positive_return_ratio_10,0.012861059375623766
volume_zscore_20,0.012701970516308581
volume_shock_rank_252,0.011502390495378576
return_5d,0.01122758966627612
price_position_5_minus_20,0.01087621923825859
trend_slope_5,0.010195020192570934
price_position_20,0.010082502368031926
large_down_day_ratio_10,0.008557964662710247
drawdown_5,0.007211466587568071
price_position_10,0.005864128167255937
close_to_20d_high,0.004355697628361957
close_to_10d_high,0.0038971349884319812
trend_consistency_20,0.00341912698543941
bearish_ma_stack,0.000595608049826253
