model,prob_col,actual_col,positive_value,threshold,precision,recall,f1,pred_positive_ratio,support_positive,support_negative
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.1,0.4919231941481256,0.9969116738727609,0.6587755102040816,0.9773607387548406,1619,1738
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.15,0.5073201782304265,0.9845583693638048,0.6696072253728208,0.9359547214775097,1619,1738
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.2,0.5114229765013055,0.967881408276714,0.6692291266282298,0.912719690199583,1619,1738
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.25,0.5258232235701906,0.9369981470043237,0.6736234458259325,0.859398272266905,1619,1738
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.3,0.5489969135802469,0.8789376158122297,0.6758489669912134,0.7721179624664879,1619,1738
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.35,0.5841628959276018,0.7974058060531192,0.674327500652912,0.6583258862079238,1619,1738
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.4,0.6169989506820567,0.7263743051266214,0.6672340425531915,0.5677688412272862,1619,1738
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.45,0.6478365384615384,0.6658431130327362,0.6567164179104478,0.4956806672624367,1619,1738
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.5,0.6659649122807018,0.5861642989499691,0.6235216819973719,0.42448614834673815,1619,1738
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.55,0.7015793848711555,0.5213094502779494,0.5981573352232459,0.3583556747095621,1619,1738
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.6,0.7295719844357976,0.46324891908585547,0.5666792595391009,0.30622579684241885,1619,1738
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.65,0.7653061224489796,0.4169240271772699,0.5397840863654538,0.26273458445040215,1619,1738
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.7,0.810368349249659,0.36689314391599753,0.5051020408163265,0.21834971700923445,1619,1738
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.75,0.8581818181818182,0.291537986411365,0.4352236053480867,0.16383675901102174,1619,1738
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.8,0.8886010362694301,0.2118591723285979,0.34214463840399,0.1149836163240989,1619,1738
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.85,0.910377358490566,0.1192093885114268,0.21081376297105406,0.06315162347333929,1619,1738
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.9,1.0,0.0030883261272390363,0.006157635467980296,0.0014894250819183796,1619,1738
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.1,0.4919231941481256,0.9969116738727609,0.6587755102040816,0.9773607387548406,1619,1738
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.15,0.5073201782304265,0.9845583693638048,0.6696072253728208,0.9359547214775097,1619,1738
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.2,0.5114229765013055,0.967881408276714,0.6692291266282298,0.912719690199583,1619,1738
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.25,0.5258232235701906,0.9369981470043237,0.6736234458259325,0.859398272266905,1619,1738
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.3,0.5489969135802469,0.8789376158122297,0.6758489669912134,0.7721179624664879,1619,1738
