,importance
ma_gap_50_200,0.05090596316430744
ma200_slope_60,0.04514440510296388
ma_gap_60_120,0.04506930100260963
return_120d,0.037572933803166834
trend_slope_60,0.03594437500131785
positive_return_ratio_60,0.03389186458929066
price_ma_200_gap,0.03163152331577403
ma_gap_20_60,0.03023097752948658
return_60d,0.028097948459630158
trend_consistency_60,0.026979027479638366
price_ma_120_gap,0.024276476786801185
price_ma_60_gap,0.02360048590593325
trend_slope_20,0.02282650934108938
large_down_day_ratio_20,0.02131350310615324
ma_gap_5_20,0.020968697399349583
drawdown_120,0.020138349087282233
drawdown_60,0.020087853150657416
price_ma_20_gap,0.019656624181540617
return_20d,0.019254522906494473
positive_return_ratio_20,0.017181919387917854
price_position_60,0.017152663432733833
trend_slope_10,0.015906363668417
price_position_10_minus_20,0.013815960495696177
price_position_20,0.01372104788683515
return_10d,0.011577999304864651
down_volume_ratio_20,0.011036721766306082
ulcer_index_60,0.010900120466669966
positive_return_ratio_10,0.0108252775257271
yang_zhang_vol_60,0.010794991802677146
atr_pct_60,0.010740003346426929
realized_vol_60,0.010449688145365219
return_5d,0.010246025198802878
parkinson_vol_60,0.009648447583952667
downside_vol_60,0.009479024035119448
trend_slope_5,0.009352436784288402
drawdown_20,0.009069011993828391
ewma_vol_60,0.008985494424336849
large_up_day_ratio_20,0.00889730767884762
bb_width_rank_252,0.008624611808279493
drawdown_10,0.00854746411399295
high_volume_down_ratio_20,0.008408915639544526
realized_vol_20,0.00834255105508826
ulcer_rank_252,0.008176338918342024
vol_of_vol_20,0.00783329603834159
atr_ratio_20_60,0.007619009850218415
bb_width_20,0.007561175427323608
atr_ratio_14_60,0.007136103140645126
atr_rank_252,0.0070571446252023435
ulcer_index_20,0.0070361372575829485
close_to_60d_high,0.0069873654851929125
price_position_10,0.006745340078084125
realized_vol_ratio_10_20,0.006520695625583135
semi_vol_20,0.006510890981762377
downside_vol_20,0.006445232738442621
downside_vol_10,0.006091848660740473
price_position_5_minus_20,0.005783988470200974
rogers_satchell_vol_20,0.005589378174563551
parkinson_vol_20,0.005381257829565976
yang_zhang_vol_20,0.005327375837814431
garman_klass_vol_20,0.005315213246589052
trend_consistency_20,0.00528665166758855
atr_pct_14,0.005114899611235449
volume_ratio_20,0.004794359405721518
volume_shock_rank_252,0.004733107616341421
atr_pct_5,0.00472840458717686
realized_vol_10,0.004561860695790253
semi_vol_10,0.0041889047047197975
large_down_day_ratio_10,0.0041789636202731436
ewma_vol_20,0.003954429533815341
atr_pct_10,0.003927351852101389
drawdown_5,0.0039045077447125644
volume_zscore_20,0.003668254241963267
atr_pct_20,0.0035327704389869303
keltner_width_20,0.0030802817141794892
close_to_10d_high,0.0026536298844087834
large_up_day_ratio_10,0.0024153389761890033
close_to_20d_high,0.0020477261126938245
true_range_pct,0.0015672883130107987
bearish_ma_stack,0.001248087465017377
