Date,ticker,asset_class,mid_trend_state,ph_bin,context_scope,context_rows,context_mean_return,context_down_freq,context_tail10,context_score,context_adjust
2013-01-02,AAPL,mega_cap,BEAR,75_85,global,0,0.0,0.5,,0.0,0.0
2013-01-02,NVDA,high_vol_growth,BEAR,00_35,global,1,-0.0278548812621873,1.0,,-1.0185171502924952,-0.08
2013-01-02,QQQ,broad_index,BULL,00_35,global,2,0.0025691039903042497,0.5,,0.06165849576730199,0.00493267966138416
2013-01-02,SOXX,sector_etf,BULL,00_35,global,3,0.0006155798988764665,0.6666666666666666,,-0.10189274909363143,-0.008151419927490515
2013-01-02,SPY,broad_index,BULL,00_35,global,4,0.000322500671205725,0.75,,-0.16725998389106259,-0.013380798711285008
2013-01-03,AAPL,mega_cap,BEAR,65_75,global,5,0.00113646407597368,0.6,,-0.042724862176631656,-0.0034179889741305326
2013-01-03,NVDA,high_vol_growth,NEUTRAL,00_35,global,6,-3.33606130154835e-05,0.6666666666666666,,-0.11746732137903823,-0.009397385710323058
2013-01-03,QQQ,broad_index,BULL,00_35,global,7,-0.004156787892287428,0.7142857142857143,,-0.24976290941489826,-0.019981032753191862
2013-01-03,SOXX,sector_etf,BULL,00_35,global,8,-0.0035996105164635746,0.625,,-0.1738906523951258,-0.013911252191610064
2013-01-03,SPY,broad_index,BULL,00_35,global,9,-0.003591176950727522,0.6666666666666666,,-0.20285491348412715,-0.016228393078730172
2013-01-04,AAPL,mega_cap,BEAR,75_85,global,10,-0.00350538269784371,0.7,,-0.224129184748249,-0.01793033477985992
2013-01-04,NVDA,high_vol_growth,BULL,00_35,global,11,-0.002942028454149427,0.6363636363636364,,-0.16606322835413168,-0.013285058268330534
2013-01-04,QQQ,broad_index,BULL,00_35,global,12,-0.004524055884187483,0.6666666666666666,,-0.2252440078871662,-0.018019520630973295
2013-01-04,SOXX,sector_etf,BULL,00_35,global,13,-0.004326112960624322,0.6923076923076923,,-0.2384420956703683,-0.019075367653629466
