,importance
realized_vol_60,0.04460321924899102
ulcer_index_60,0.04211589937964048
downside_vol_60,0.041006000548054186
atr_rank_252,0.03906159256820545
yang_zhang_vol_60,0.03846556173904526
parkinson_vol_60,0.03829201988573625
atr_pct_60,0.037110237498483106
downside_vol_20,0.03701503238512703
bb_width_20,0.036122144122976076
vol_of_vol_20,0.03561832814011723
ewma_vol_60,0.03525350227169434
atr_ratio_20_60,0.03419206670800382
atr_ratio_14_60,0.03395487407096735
bb_width_rank_252,0.03351505252072774
ulcer_rank_252,0.03327087099442285
realized_vol_20,0.03304640252174558
ulcer_index_20,0.03222739056466722
realized_vol_10,0.030891129639395144
semi_vol_20,0.0300801232783453
rogers_satchell_vol_20,0.028321890409152107
ewma_vol_20,0.027699104635122773
garman_klass_vol_20,0.027592259608078557
realized_vol_ratio_10_20,0.02700779793546341
downside_vol_10,0.026811548279539917
yang_zhang_vol_20,0.02597571118200456
semi_vol_10,0.02381555818000278
parkinson_vol_20,0.023011418793502676
atr_pct_10,0.021626926009084568
keltner_width_20,0.019081912938937812
atr_pct_5,0.01866556562859365
atr_pct_14,0.018077154191107385
atr_pct_20,0.01744087091982501
true_range_pct,0.009030832928782194
