,importance
atr_pct_10,0.04305249652035912
drawdown_120,0.03237125996707575
drawdown_60,0.03107449970533101
rogers_satchell_vol_20,0.0306651699149933
atr_pct_14,0.030322911542801496
garman_klass_vol_20,0.026286994546114422
atr_pct_5,0.024485967235430884
parkinson_vol_20,0.022961357340826136
close_to_60d_high,0.022685167733261406
drawdown_20,0.02109907464933164
semi_vol_20,0.01978928354750794
semi_vol_10,0.019014483002123713
close_to_20d_high,0.018061863330821947
price_ma_120_gap,0.01751832624382038
atr_pct_20,0.01648449794693656
price_ma_200_gap,0.015285604039187698
atr_rank_252,0.014234106498984074
realized_vol_20,0.013771294958378205
price_position_60,0.013690786315739013
return_20d,0.013560303584071
downside_vol_20,0.013560135854017321
price_ma_60_gap,0.013402355284352014
downside_vol_10,0.013219624857378048
price_ma_20_gap,0.013123255108240979
ma_gap_60_120,0.01308671840640258
yang_zhang_vol_20,0.012921635041840048
price_position_20,0.01290959221657994
downside_vol_60,0.012614798988492805
ulcer_index_20,0.012506366463553388
return_120d,0.012172603363444704
yang_zhang_vol_60,0.012161345231640827
parkinson_vol_60,0.01213851274050761
atr_pct_60,0.011866578047129367
drawdown_10,0.011067291193934839
ewma_vol_60,0.010834783719347898
price_position_10,0.010629700441097071
ulcer_index_60,0.010354605079295911
ma200_slope_60,0.010322044546704828
atr_ratio_20_60,0.010247791149479796
ulcer_rank_252,0.010156086868514576
ma_gap_50_200,0.009983289112752241
down_volume_ratio_10,0.009884232115635112
ewma_vol_20,0.009795136467627821
ma_gap_20_60,0.00977806892473064
trend_slope_60,0.009761617220878151
return_10d,0.009704757475172675
realized_vol_60,0.009607363630089417
realized_vol_10,0.009425710326353968
trend_slope_20,0.009394999690689547
down_volume_ratio_20,0.009386042291608315
vol_of_vol_20,0.009257196048955458
return_5d,0.009045229503614777
return_60d,0.008913475167424795
atr_ratio_14_60,0.008867994178947429
ma_gap_5_20,0.008774833337907146
positive_return_ratio_60,0.008696273157034912
bb_width_rank_252,0.008556350557473563
trend_slope_5,0.008493519644613144
close_to_10d_high,0.008462101145784207
bb_width_20,0.00836184110315997
keltner_width_20,0.008182620120576321
trend_slope_10,0.007611113752852635
true_range_pct,0.007504756612693849
high_volume_down_ratio_20,0.007402008735965186
realized_vol_ratio_10_20,0.007283901813588315
trend_consistency_60,0.0072713678961903614
price_position_10_minus_20,0.007259959397613004
drawdown_5,0.007160339823655257
high_volume_down_ratio_10,0.0070453938902458515
positive_return_ratio_20,0.006820461655234029
return_5d_minus_20d,0.006203388127456521
large_up_day_ratio_20,0.005869268704611299
positive_return_ratio_10,0.005838891639104842
price_position_5_minus_20,0.005490935486362119
return_10d_minus_20d,0.005459681548658854
volume_ratio_20,0.0049495842614623335
volume_zscore_20,0.0047694383100570625
volume_shock_rank_252,0.004320797722822958
large_down_day_ratio_20,0.0038498034870523648
trend_consistency_20,0.0038085518917399435
large_up_day_ratio_10,0.003347036304516916
large_down_day_ratio_10,0.0023843708088262493
bearish_ma_stack,0.0003050243200945376
