,importance
ma_gap_60_120,0.03473016156694009
ma200_slope_60,0.033746609438212366
ma_gap_50_200,0.03265850216060868
trend_slope_60,0.0321495422094412
return_120d,0.0319904942111212
ma_gap_20_60,0.028376176431609043
price_ma_200_gap,0.028358082437765084
price_ma_120_gap,0.028168103779557616
positive_return_ratio_60,0.028119204091726364
return_60d,0.024723528320294508
large_down_day_ratio_20,0.02444749746263092
trend_consistency_60,0.024275919341419497
trend_slope_20,0.023776010694084148
positive_return_ratio_20,0.023551145670472135
drawdown_60,0.023435757966077476
price_ma_60_gap,0.022356025414856324
large_up_day_ratio_20,0.021031915599213767
ma_gap_5_20,0.02058900585312807
drawdown_120,0.02031653301634161
price_position_60,0.019871922779257117
return_20d,0.019515057296594925
large_up_day_ratio_10,0.015897837156665796
trend_slope_10,0.014938362967396488
close_to_60d_high,0.01421735540730635
price_position_10_minus_20,0.01377669657715859
positive_return_ratio_10,0.013400745758999412
drawdown_20,0.012773387950929731
return_10d,0.012212402056291698
return_5d,0.0119406792821285
price_ma_20_gap,0.011689865958490777
down_volume_ratio_20,0.011136344999680726
trend_consistency_20,0.0107804639704001
drawdown_10,0.01068717550794053
large_down_day_ratio_10,0.01066422225025912
realized_vol_60,0.009918251643504503
price_position_10,0.00949436176478674
ulcer_index_60,0.009359656296051608
downside_vol_60,0.009118743469352248
trend_slope_5,0.009017107855220155
atr_rank_252,0.008693707514224934
yang_zhang_vol_60,0.008511559236022972
parkinson_vol_60,0.008502205936650601
atr_pct_60,0.008253996291082243
downside_vol_20,0.00821635276865995
bb_width_20,0.008030750117175451
high_volume_down_ratio_20,0.007993184285012868
vol_of_vol_20,0.00792097978435976
ewma_vol_60,0.007841449605255442
atr_ratio_20_60,0.007568559041501623
atr_ratio_14_60,0.007539947508387531
bb_width_rank_252,0.007452354732409841
ulcer_rank_252,0.007398344362885793
realized_vol_20,0.00733305706909071
price_position_5_minus_20,0.007249564618424851
ulcer_index_20,0.007186165140543731
realized_vol_10,0.006863284254127049
semi_vol_20,0.006705668021585532
rogers_satchell_vol_20,0.0062771375525291695
price_position_20,0.0061737271026097666
ewma_vol_20,0.006138226276146461
garman_klass_vol_20,0.006112496407412877
realized_vol_ratio_10_20,0.005994024179982925
downside_vol_10,0.005955854987713451
yang_zhang_vol_20,0.005766276595426224
semi_vol_10,0.005349900840931614
parkinson_vol_20,0.005123455673351737
atr_pct_10,0.004813401096833482
drawdown_5,0.004742881164607299
close_to_20d_high,0.004538790981064147
volume_ratio_20,0.004251202601557856
keltner_width_20,0.004245776696168309
atr_pct_5,0.0041261986493769
bearish_ma_stack,0.004084229858678541
atr_pct_14,0.0040335480074712975
atr_pct_20,0.0038338089420535066
volume_shock_rank_252,0.0036689559971997154
close_to_10d_high,0.0033213417426877626
volume_zscore_20,0.0029396961644576874
true_range_pct,0.0020370838596668853
