,importance
ma_gap_60_120,0.04294833028273258
ma200_slope_60,0.042077713111500506
trend_slope_60,0.04189321086353933
ma_gap_50_200,0.04184859434959464
return_120d,0.040704801561700844
ma_gap_20_60,0.0380511202014214
price_ma_200_gap,0.03711504662674593
price_ma_120_gap,0.03707283749226629
return_60d,0.03377993229185536
positive_return_ratio_60,0.03197285998246318
down_volume_ratio_20,0.031382626667908295
price_ma_60_gap,0.029873778363368714
high_volume_down_ratio_20,0.027761523788545413
trend_slope_20,0.02707105025451205
large_down_day_ratio_20,0.02653200023609864
price_position_60,0.026039532885786483
drawdown_60,0.024674699222183943
ma_gap_5_20,0.024550575469754497
positive_return_ratio_20,0.023659880129026346
return_20d,0.02165284234716738
drawdown_120,0.021419587022440584
large_up_day_ratio_20,0.021079026888256767
large_up_day_ratio_10,0.020531802028205082
trend_consistency_60,0.01963392139037347
price_ma_20_gap,0.018302672981527785
trend_slope_10,0.017883570778335092
drawdown_10,0.017254879710283905
positive_return_ratio_10,0.017067772461381366
close_to_60d_high,0.01705147305804689
drawdown_20,0.016740048617845917
return_10d,0.016734856340564066
trend_slope_5,0.01534551309951995
price_position_10_minus_20,0.014619852054208661
return_5d,0.01287466243252672
volume_ratio_20,0.012010886059648502
price_position_20,0.010649735034652016
volume_shock_rank_252,0.010648351186694252
volume_zscore_20,0.009984176720334088
price_position_5_minus_20,0.009808954883088259
price_position_10,0.009726857840308054
drawdown_5,0.009344003240772825
trend_consistency_20,0.009112769347623163
large_down_day_ratio_10,0.008184314295668007
close_to_10d_high,0.005681863374342183
close_to_20d_high,0.005087714996613887
bearish_ma_stack,0.002557778455180625
