,importance
ma_gap_60_120,0.04352348944955757
trend_slope_60,0.04136234875800761
ma200_slope_60,0.03982193185855442
ma_gap_50_200,0.0386202494966768
return_120d,0.03842930593987509
price_ma_120_gap,0.03780557551778786
ma_gap_20_60,0.03530102304094249
return_60d,0.03495468683410677
price_ma_200_gap,0.0345181440261224
positive_return_ratio_60,0.03276451644653987
down_volume_ratio_20,0.0323592445804804
high_volume_down_ratio_20,0.03089164959318522
price_position_60,0.029131194499472806
drawdown_60,0.0286655397272654
large_down_day_ratio_20,0.026918922908075658
price_ma_60_gap,0.02684559985449134
positive_return_ratio_20,0.023865638830650984
trend_slope_20,0.02380914136007223
return_20d,0.022795797223229854
large_up_day_ratio_10,0.02259014339298509
ma_gap_5_20,0.0217744802610122
trend_consistency_60,0.021729047517135135
close_to_60d_high,0.021354029153747157
drawdown_120,0.020335327303727686
large_up_day_ratio_20,0.019590528942365106
trend_slope_10,0.019378415786709482
drawdown_10,0.018542101934520085
drawdown_20,0.01744423699699202
price_ma_20_gap,0.016605460299528897
trend_slope_5,0.016448260021408916
return_10d,0.015189454440775397
positive_return_ratio_10,0.015160520769963373
price_position_10_minus_20,0.01430538116659995
return_5d,0.012870014043600681
volume_ratio_20,0.011136315891769574
price_position_5_minus_20,0.010577166359109384
volume_shock_rank_252,0.010460141841446915
large_down_day_ratio_10,0.010144531555072587
drawdown_5,0.009886921650117784
trend_consistency_20,0.009731809539170215
price_position_10,0.009704015035591538
price_position_20,0.008863946462028368
volume_zscore_20,0.007764477572270571
close_to_20d_high,0.005812335072920495
close_to_10d_high,0.005603584197131799
bearish_ma_stack,0.004613352790213881
