,importance
ma_gap_60_120,0.0456573924561131
ma200_slope_60,0.04477064550248167
ma_gap_50_200,0.043079782948119656
trend_slope_60,0.04258267919194334
return_120d,0.04217066586577511
price_ma_200_gap,0.03740500068751215
ma_gap_20_60,0.03726887504127797
price_ma_120_gap,0.03694956065980174
positive_return_ratio_60,0.03687570522546709
trend_consistency_60,0.03566227754899522
large_down_day_ratio_20,0.03258469209605311
return_60d,0.032520434367662734
positive_return_ratio_20,0.03250125599821793
drawdown_60,0.03136761072747749
trend_slope_20,0.030915362524879923
price_ma_60_gap,0.0301108395193758
ma_gap_5_20,0.028328874260989238
large_up_day_ratio_20,0.02788391087337264
drawdown_120,0.02690505440206459
price_position_60,0.026282921090670344
return_20d,0.026055965954128624
large_up_day_ratio_10,0.02093472017706575
trend_slope_10,0.020188466219855802
price_position_10_minus_20,0.01839718226521712
trend_consistency_20,0.01798097405117005
positive_return_ratio_10,0.01780873269094519
drawdown_20,0.017335444008090742
close_to_60d_high,0.01668405895070608
return_10d,0.015948375944642774
price_ma_20_gap,0.01580885006871309
return_5d,0.015738414523299965
drawdown_10,0.014738247545167161
large_down_day_ratio_10,0.014308020473681465
price_position_10,0.012558577247214016
trend_slope_5,0.012192156927467872
price_position_5_minus_20,0.009351574969456586
price_position_20,0.008615497890382863
close_to_20d_high,0.006732451467282122
drawdown_5,0.006524033657793581
bearish_ma_stack,0.005369783515301866
close_to_10d_high,0.004904931211577994
