,importance
ma_gap_60_120,0.04331250585505225
ma200_slope_60,0.04155710189499789
ma_gap_50_200,0.04054628723806384
return_120d,0.03976975178063315
trend_slope_60,0.03965847465530267
ma_gap_20_60,0.03547936607263557
price_ma_200_gap,0.03524033638917437
price_ma_120_gap,0.03522513406168732
positive_return_ratio_60,0.035209359198075066
down_volume_ratio_20,0.033404352872735
return_60d,0.030855825765337658
trend_slope_20,0.03014698124130042
large_down_day_ratio_20,0.029918345889156973
drawdown_60,0.028358701842657794
positive_return_ratio_20,0.027244396416241965
price_ma_60_gap,0.02687883030162156
large_up_day_ratio_20,0.025911258394083394
trend_consistency_60,0.025245419096285734
drawdown_120,0.025099371789861286
price_position_60,0.024529889913364536
ma_gap_5_20,0.024052073744401457
high_volume_down_ratio_20,0.023931968656994748
return_20d,0.023770054825194713
close_to_60d_high,0.020443476060343472
large_up_day_ratio_10,0.019811388584905273
trend_slope_10,0.01790620077193284
price_position_10_minus_20,0.016765216159881906
positive_return_ratio_10,0.016460738874042046
return_10d,0.01533358651293037
drawdown_20,0.015274773513218471
return_5d,0.01483525561645856
price_ma_20_gap,0.013902281700940275
large_down_day_ratio_10,0.01294255329065934
volume_ratio_20,0.012784234813663052
drawdown_10,0.012510354042725729
price_position_10,0.011734506730655474
volume_shock_rank_252,0.011030836689315038
trend_slope_5,0.0108138794866901
price_position_5_minus_20,0.009271573565730785
volume_zscore_20,0.008821353212097743
trend_consistency_20,0.008270249470187414
price_position_20,0.007039476958616722
drawdown_5,0.005531993174300292
bearish_ma_stack,0.005098558441074731
close_to_20d_high,0.004643263174026894
close_to_10d_high,0.003428466089644644
