,importance
ma200_slope_60,0.03935160348273985
ma_gap_60_120,0.036951023304869456
ma_gap_50_200,0.03634604611701469
ma_gap_20_60,0.03351605367909204
large_down_day_ratio_20,0.033221961436399
trend_slope_60,0.03160778536092543
price_ma_200_gap,0.0314833605752649
drawdown_60,0.029122082345777754
positive_return_ratio_60,0.029080191869586908
drawdown_120,0.028873990517051324
return_120d,0.02829969236703189
price_ma_120_gap,0.024910377386794413
trend_consistency_60,0.023583710970300806
trend_slope_20,0.02295417775219765
return_60d,0.022595317552217373
ma_gap_5_20,0.021655736460190957
price_ma_60_gap,0.021375511413752397
price_position_60,0.020910025978283064
large_up_day_ratio_20,0.020234514948171998
return_20d,0.019414778722700136
price_ma_20_gap,0.018175525729399147
drawdown_20,0.01804277575818985
close_to_60d_high,0.0174613649013651
positive_return_ratio_20,0.015860850245855474
return_10d,0.013209470168540564
trend_slope_10,0.013147837409506492
drawdown_10,0.011500924939260535
price_position_20,0.010741824553675812
large_down_day_ratio_10,0.010430512843418265
parkinson_vol_60,0.010229350974256868
downside_vol_60,0.010108263818407515
realized_vol_60,0.009883643836119727
ulcer_index_60,0.009840838349355086
down_volume_ratio_20,0.009606073260006726
yang_zhang_vol_60,0.009470878867009007
price_position_10_minus_20,0.009007658850326648
atr_pct_60,0.008821093421256929
atr_ratio_20_60,0.008506660174633454
return_5d,0.008349900572210455
atr_rank_252,0.00834055919048452
ulcer_index_20,0.008015710238993128
ewma_vol_60,0.00784143619896348
positive_return_ratio_10,0.007760568482033839
downside_vol_20,0.007752022599155492
parkinson_vol_20,0.007747542352569201
vol_of_vol_20,0.007540722279687252
ulcer_rank_252,0.007265889895465612
price_position_5_minus_20,0.007127746938632529
atr_ratio_14_60,0.007116684498966752
large_up_day_ratio_10,0.006926983550135079
high_volume_down_ratio_20,0.006668767339005456
yang_zhang_vol_20,0.00666173993888257
trend_slope_5,0.0064256227491556175
bb_width_20,0.006261084384988231
garman_klass_vol_20,0.006210173920388876
bb_width_rank_252,0.006206967479977787
realized_vol_20,0.005990822650981875
trend_consistency_20,0.005956341521535233
semi_vol_20,0.0057451145620957085
atr_pct_14,0.005603785610464854
realized_vol_ratio_10_20,0.0055404349889146744
rogers_satchell_vol_20,0.005494789739427054
close_to_20d_high,0.005392126632824366
downside_vol_10,0.005296970627038014
semi_vol_10,0.005193276920553373
ewma_vol_20,0.005138020332086223
atr_pct_10,0.005101802087543511
realized_vol_10,0.004901636222773067
close_to_10d_high,0.004781884110417313
keltner_width_20,0.00426722147692027
atr_pct_20,0.00420267367540453
atr_pct_5,0.004107166433428058
price_position_10,0.003907999603305261
drawdown_5,0.003767456848174809
volume_zscore_20,0.0024121089504829055
volume_shock_rank_252,0.0022935070762368876
volume_ratio_20,0.0022841743648891605
true_range_pct,0.0018172440337475503
bearish_ma_stack,0.0010498266626185913
