model,prob_col,actual_col,positive_value,threshold,precision,recall,f1,pred_positive_ratio,support_positive,support_negative
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.1,0.430145963658028,1.0,0.6015413455530098,1.0,1444,1913
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.15,0.430145963658028,1.0,0.6015413455530098,1.0,1444,1913
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.2,0.4287856071964018,0.9903047091412742,0.5984515589035363,0.9934465296395592,1444,1913
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.25,0.43508114856429464,0.9653739612188366,0.5998278829604131,0.9544235924932976,1444,1913
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.3,0.45887751500176494,0.9002770083102493,0.60790273556231,0.8439082514149538,1444,1913
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.35,0.4739976181024216,0.8268698060941828,0.6025738077214232,0.7503723562704796,1444,1913
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.4,0.5177472787505916,0.7576177285318559,0.6151251054259207,0.6294310396187072,1444,1913
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.45,0.5468837731611454,0.6745152354570637,0.604031007751938,0.5305332141793268,1444,1913
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.5,0.5729094678645473,0.5740997229916898,0.5735039778623314,0.43103961870717905,1444,1913
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.55,0.616580310880829,0.49445983379501385,0.5488086087624904,0.3449508489722967,1444,1913
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.6,0.6601092896174864,0.4182825484764543,0.5120813904196694,0.2725647899910634,1444,1913
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.65,0.6835443037974683,0.3365650969529086,0.4510440835266821,0.21179624664879357,1444,1913
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.7,0.6904347826086956,0.27493074792243766,0.3932639920752848,0.17128388442061365,1444,1913
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.75,0.6907216494845361,0.18559556786703602,0.2925764192139738,0.11557938635686625,1444,1913
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.8,0.7245508982035929,0.08379501385041552,0.15021725636250777,0.04974679773607388,1444,1913
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.85,0.75,0.031163434903047092,0.0598404255319149,0.017873100983020553,1444,1913
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.9,0.7884615384615384,0.028393351800554016,0.05481283422459893,0.015490020851951147,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.1,0.430145963658028,1.0,0.6015413455530098,1.0,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.15,0.430145963658028,1.0,0.6015413455530098,1.0,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.2,0.4287856071964018,0.9903047091412742,0.5984515589035363,0.9934465296395592,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.25,0.43508114856429464,0.9653739612188366,0.5998278829604131,0.9544235924932976,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.3,0.45887751500176494,0.9002770083102493,0.60790273556231,0.8439082514149538,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.35,0.4739976181024216,0.8268698060941828,0.6025738077214232,0.7503723562704796,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.4,0.5177472787505916,0.7576177285318559,0.6151251054259207,0.6294310396187072,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.45,0.5468837731611454,0.6745152354570637,0.604031007751938,0.5305332141793268,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.5,0.5729094678645473,0.5740997229916898,0.5735039778623314,0.43103961870717905,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.55,0.616580310880829,0.49445983379501385,0.5488086087624904,0.3449508489722967,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.6,0.6601092896174864,0.4182825484764543,0.5120813904196694,0.2725647899910634,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.65,0.6835443037974683,0.3365650969529086,0.4510440835266821,0.21179624664879357,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.7,0.6904347826086956,0.27493074792243766,0.3932639920752848,0.17128388442061365,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.75,0.6907216494845361,0.18559556786703602,0.2925764192139738,0.11557938635686625,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.8,0.7245508982035929,0.08379501385041552,0.15021725636250777,0.04974679773607388,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.85,0.75,0.031163434903047092,0.0598404255319149,0.017873100983020553,1444,1913
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.9,0.7884615384615384,0.028393351800554016,0.05481283422459893,0.015490020851951147,1444,1913
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.1,0.20701168614357263,0.9295352323838081,0.3386127799016931,0.8921656240691094,667,2690
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.15,0.21340996168582377,0.8350824587706147,0.33994507171193167,0.7774798927613941,667,2690
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.2,0.21586300135196035,0.7181409295352323,0.33194733194733195,0.6610068513553768,667,2690
