,importance
ma200_slope_60,0.048595150964083296
ma_gap_60_120,0.04744801770467016
ma_gap_50_200,0.04630366693406055
ma_gap_20_60,0.042834766966287074
trend_slope_60,0.04017453052732717
large_down_day_ratio_20,0.0394461446253228
price_ma_200_gap,0.03831245916808257
positive_return_ratio_60,0.03610955033357078
return_120d,0.03447221851035018
drawdown_120,0.032807948504515
price_ma_120_gap,0.03247951687034589
drawdown_60,0.032200852624281115
return_60d,0.02922290257069223
price_ma_60_gap,0.028580722147573453
trend_slope_20,0.028229526129074485
down_volume_ratio_20,0.027076421020331233
large_up_day_ratio_20,0.026583852895696293
ma_gap_5_20,0.023827477491731915
return_20d,0.023481980594898765
price_position_60,0.0233443392168579
close_to_60d_high,0.022508450222039032
drawdown_20,0.022217496436843204
high_volume_down_ratio_20,0.02173950681338153
price_ma_20_gap,0.021202555604441654
trend_consistency_60,0.02086854511724105
trend_slope_10,0.017923976641285994
return_10d,0.017297511520010876
positive_return_ratio_20,0.0165366615870476
drawdown_10,0.015371443520832275
price_position_20,0.014200396493104938
large_down_day_ratio_10,0.013814050730803818
price_position_10_minus_20,0.012281001506221762
return_5d,0.011965914639129925
positive_return_ratio_10,0.011862711865418648
large_up_day_ratio_10,0.010586602351279922
close_to_20d_high,0.008523375135920351
volume_ratio_20,0.008178343110875364
price_position_5_minus_20,0.007942170687798237
volume_zscore_20,0.007741874624722793
trend_slope_5,0.006901350081491165
volume_shock_rank_252,0.006657606811045082
price_position_10,0.006410184977380956
drawdown_5,0.006043240523597758
close_to_10d_high,0.004746860480822977
trend_consistency_20,0.003749919377104749
bearish_ma_stack,0.0011962033911711639
