,importance
ma200_slope_60,0.05492130921421839
ma_gap_50_200,0.04918006387592796
price_ma_200_gap,0.04873997135002846
ma_gap_60_120,0.0481192622119413
trend_slope_60,0.04456454460691136
return_120d,0.0432932931779226
ma_gap_20_60,0.041380260028832015
large_up_day_ratio_20,0.04134329153748695
return_60d,0.037974676150678
drawdown_120,0.03746673910081015
price_ma_120_gap,0.03430527135591662
positive_return_ratio_60,0.03414629289043313
trend_slope_20,0.03270767334089171
trend_consistency_60,0.02865494597028287
drawdown_60,0.026900213016363392
positive_return_ratio_20,0.025639903542238274
return_20d,0.025410575782954102
ma_gap_5_20,0.025152130652656077
drawdown_20,0.024888478084629618
large_up_day_ratio_10,0.02477615599110279
price_ma_60_gap,0.024283425736939535
price_position_60,0.023962623554527655
large_down_day_ratio_20,0.020880454531242508
large_down_day_ratio_10,0.017262967543848345
price_ma_20_gap,0.017183861855214456
price_position_10_minus_20,0.017061485730375844
trend_slope_10,0.016457000634372457
return_10d,0.01515172219348772
price_position_20,0.012860288940525303
drawdown_10,0.012499840235567905
price_position_5_minus_20,0.011873374744835827
return_5d,0.011446111888968545
trend_consistency_20,0.01112749801004178
trend_slope_5,0.010270480155235245
price_position_10,0.009767796619093537
close_to_60d_high,0.009164462149783503
positive_return_ratio_10,0.008884722854100613
drawdown_5,0.007088711981071226
close_to_20d_high,0.006571473970065459
bearish_ma_stack,0.0045476519088778235
close_to_10d_high,0.0020889925986661445
