,importance
trend_slope_60,0.05392952673996444
ma200_slope_60,0.052352169268978906
ma_gap_20_60,0.05123508651740849
ma_gap_50_200,0.05076985345589319
ma_gap_60_120,0.04874747459192775
return_120d,0.047172868408938126
price_ma_200_gap,0.04214090826973829
price_ma_120_gap,0.04004176330153718
positive_return_ratio_60,0.03781571982812787
return_60d,0.0370748979022744
drawdown_120,0.03389146232560355
large_up_day_ratio_20,0.03369099971222033
trend_consistency_60,0.033363965933584414
price_ma_60_gap,0.032108488181375065
trend_slope_20,0.0319681387618258
ma_gap_5_20,0.027911033922045757
large_down_day_ratio_20,0.026489881295544495
positive_return_ratio_20,0.024066396203817845
trend_slope_10,0.021329824584340497
price_position_60,0.021221641945279163
return_20d,0.02008211111953844
drawdown_60,0.019045780685989902
large_up_day_ratio_10,0.019034025761068316
price_ma_20_gap,0.018714767610408526
drawdown_10,0.017720716720254534
price_position_10_minus_20,0.01644901766380754
return_10d,0.016101847342104028
return_5d,0.014052382710302944
trend_slope_5,0.013130028598470383
drawdown_20,0.013117842930634132
price_position_20,0.012804373495450746
price_position_5_minus_20,0.012329625874761925
positive_return_ratio_10,0.010940308411273502
price_position_10,0.009109386958943871
drawdown_5,0.009073115992087257
large_down_day_ratio_10,0.00887265480918041
trend_consistency_20,0.008863736445496288
close_to_60d_high,0.00521291142915346
close_to_10d_high,0.004203071959117162
close_to_20d_high,0.003007027356597107
bearish_ma_stack,0.0008131633734419232
